Song,Artist,Link,Year,Month,Count/Month
Back Seat,Atlas Genius ,Ldnh1HLrlJQ,2021,Jul,1
The longest day,The Diogenes Club ,S2wVeJZ4-v8,2021,Jul,1
Red Socks Pugie,Foals ,H6RcLVsejMc,2021,Jul,1
Dorothy,Her's ,P3zy9q1TVUk,2021,Jul,1
These Times,Far Caspian ,uikmmCi-aB0,2021,Jul,1
All The Time,The Strokes ,8Zmr7phCSkc,2021,Jul,2
Threat of Joy,The Strokes ,GZyr711PgXk,2021,Jul,1
Taken for a Fool,The Strokes ,tJoOmUp3XYQ,2021,Jul,1
Good Time,Teenanger ,X41U6T4FBeU,2021,Jul,1
Not The Same Anymore,The Strokes ,sY1U0eJV5es,2021,Jul,1
Cure For Me,AURORA ,YWddXSShQI8,2021,Jul,1
Young,Vacations ,v_IhB3VkJdA,2021,Jul,1
Call It What You Want,Foster the People ,amjuGwGyPUg,2021,Jul,1
Pumped Up Kicks,Foster the People ,rnO-MflYxCw,2021,Jul,1
What Would I Do?,Strawberry Guy ,scxQ2GQnhCY,2021,Jul,1
Nevermind,Foster the People ,RcPzq0zFWsw,2021,Jul,1
Best Friend,Foster the People ,GjCilX5bivo,2021,Jul,1
The Bay,Metronomy ,4YRh-Dm99Es,2021,Jul,1
Fever,Balthazar ,wo0Urr7hr0Q,2021,Jul,1
Isabella,Isaac Delusion ,YBrirDz0Ww8,2021,Jul,3
Virile,The Blaze ,mRwAjRe67bo,2021,Jul,1
Montreal,Roosevelt ,1Fuf7IkZj0Y,2021,Jul,6
Alone,Furns ,J5vuoAfkk98,2021,Jul,3
Bunker,Balthazar ,t7ghnCtOjjU,2021,Jul,5
Why Can't I Have You,Gloria Laing ,ZeHwynUVxBw,2021,Jul,1
Angela,Flower Face ,9xmDUSyP268,2021,Jul,1
Runaway,AURORA ,BRpS93I8_Jk,2021,Jul,3
Last Nite,The Strokes ,phDGgIvwAmw,2021,Jul,1
Can't Stop,Red Hot Chili Peppers ,D4INE2zO9OU,2021,Jul,1
Young Folks,Peter Bjorn and John ,tUsH87zLvAg,2021,Jul,1
Island In The Sun,Weezer ,beX-9wW5rL0,2021,Jul,1
The Suburbs,Arcade Fire ,D1r9_zdygpw,2021,Jul,1
Someday,The Strokes ,2u4ZlLpY7_Y,2021,Jul,1
Locket,Crumb ,xKmqwrQFlpA,2021,Jul,2
Damned Eye See,Chelou ,7zTdyrrKKzo,2021,Jul,1
House & Farm,Boy & Bear ,lhdCvat2E6E,2021,Jul,1
Awake,Electric Guest ,mVeyD7fAXaU,2021,Jul,1
Sodus,Cemeteries ,gR3Osz_5r14,2021,Jul,3
Everything Goes My Way,Metronomy ,9NDHx37YQpU,2021,Jul,1
Sweet Disposition,The Temper Trap ,wmFTYyBM2-I,2021,Jul,1
Hunnybee,Unknown Mortal Orchestra ,KT06acweumY,2021,Jul,1
Halfway to Nowhere,Chelou ,llQMEOVsy2w,2021,Jul,1
Hey You,Dope Lemon ,n5FLvnK0kBk,2021,Jul,1
Neptune,Foals ,-6Y9LFBCi48,2021,Jul,2
Lauren,Men I Trust ,iZcOYmMyG-E,2021,Jul,3
The Curse,Agnes Obel ,ZKEK5mVTOEo,2021,Jul,1
American Daydream,Electric Guest ,UGKbqjOHEW4,2021,Jul,1
Exits,Foals ,nMTrLtm_1GA,2021,Jul,1
Sunsetz,Cigarettes After Sex ,DCa-oXnDyzc,2021,Jul,1
Harvest Moon,Poolside ,wjZH_8EmFvQ,2021,Jul,4
Fade Into You,Mazzy Star ,avv2IIdDnnk,2021,Jul,1
Futile Devices,Sufjan Stevens ,RaKXCrogzfk,2021,Jul,1
Familiar,Agnes Obel ,Izk-40vclJs,2021,Jul,1
Moral of the Story,Ashe ,Is9fu7IzuQ4,2021,Jul,1
Live Well,Palace ,z-vFSFZ-h2o,2021,Jul,4
Parcels ~ Gamesofluck (Official Audio),Parcels,O8mqObs7gv0,2021,Jul,1
Crumb - Locket [Official Video],Crumb The Band,BqnG_Ei35JE,2021,Jul,1
Men I Trust - Days Go By,Men I Trust,bCDQN8iDCzo,2021,Jul,1
Beach House - PPP,Sub Pop,NFhJRTdmviA,2021,Jul,3
"The Lumineers - ""Stubborn Love"" (Official Video)",The Lumineers,UJWk_KNbDHo,2021,Jul,1
The Tunnels - We Are Infinite,CONLIN,t6Sx1uaFT38,2021,Jul,1
Blue,Far Caspian ,Vz3Lq3AGsaM,2021,Jul,4
"For the Widows in Paradise, For the Fatherless in Ypsilanti",Sufjan Stevens ,vWb_sK18pgw,2021,Jul,1
Down by the Pecan Tree,Otemma ,Hw86w3atcP4,2021,Jul,1
Dark Days,Local Natives ,4BQ8_gYIY8s,2021,Jul,1
Wallowa Lake Monster,Sufjan Stevens ,akvZBRrofRM,2021,Jul,1
You're Somebody Else,Flora Cash ,Vey3A4FMc_4,2021,Jul,1
Death with Dignity (Helado Negro Remix),Sufjan Stevens ,-uJnlGtovJo,2021,Jul,1
Affection,Cigarettes After Sex ,k1GsKHHwAik,2021,Jul,2
Each Time You Fall in Love,Cigarettes After Sex ,xJyeV9oUGJk,2021,Jul,1
"Decatur, or, Round of Applause for Your Step-Mother!",Sufjan Stevens ,694Ok4_8kCg,2021,Jul,1
Casimir Pulaski Day,Sufjan Stevens ,TfEkDqP34xo,2021,Jul,1
To Be Alone With You,Sufjan Stevens ,QocXrEcpWpU,2021,Jul,1
Fake Laugh - Better For Me (Official Audio),Fake Laugh,Spf8aiEs7-E,2021,Jul,1
How To Connect Two LED Strips Together EASY (WITHOUT Soldering OR Extra Wires),LeonBrattMusic,vsEIvc1LkpI,2021,Jul,1
Poolside – Harvest Moon (Official Audio),Poolside,suWbFPaVoEA,2021,Jul,1
Blouse,Clairo ,E7EhIyjXi9c,2021,Jul,2
Pretty Places,Aly & AJ ,wy_z8lHpdaw,2021,Jul,5
Solar Power,Lorde ,D2HqSMD6NOc,2021,Jul,7
Bite The Hand,Julien Baker ,hZlR6DjehDc,2021,Jul,1
Ontario,Novo Amor ,QllxjYy7FXU,2021,Jul,1
Chicago,Sufjan Stevens ,edpLqHYp4XY,2021,Jul,2
Romulus,Sufjan Stevens ,KOuepo6DP4k,2021,Jul,1
Voodoo? (Lazywax Remix),L'Impératrice ,jT_bXjKDgpE,2021,Jul,3
Riptide,Vance Joy ,MsTWpbR_TVE,2021,Jul,1
A Thousand Years,Christina Perri ,TA1W-pHNKl8,2021,Jul,1
Team,Lorde ,zTz_qdgEgMg,2021,Jul,2
Heaven Up There,Palace ,j4Wq42Hyxxo,2021,Jul,1
The Night We Met,Lord Huron ,esMMHzePMVk,2021,Jul,1
Kyoto,Phoebe Bridgers ,Ubt_qaac_wM,2021,Jul,2
Sedated,Hozier ,yxP3wpXy_d4,2021,Jul,1
Soft Universe,AURORA ,daHIgxDSLMY,2021,Jul,1
Winter Bird,AURORA ,d3O8XiPQO_s,2021,Jul,1
Sofia,Clairo ,wD__jpWgWkQ,2021,Jul,1
The Love Club,Lorde ,nEipxSHZEIs,2021,Jul,1
A World Alone,Lorde ,gGF3C3dcOoQ,2021,Jul,1
Buzzcut Season,Lorde ,tzEjrqWIIc4,2021,Jul,1
Animals,Lisa Mitchell ,er6aYDNEI0k,2021,Jul,1
Clean White Love,Lisa Mitchell ,_uJ0wWJFFYU,2021,Jul,1
Like I Used To,Sharon Van Etten ,ao7vn5dTfDU,2021,Jul,1
"Hey, Ma",Bon Iver ,1Fa9ZDy-EJg,2021,Jul,2
Garden Song,Phoebe Bridgers ,ekXfx-rQ3Ww,2021,Jul,2
I Know The End,Phoebe Bridgers ,ZC6mEJ5i5y8,2021,Jul,2
Missing Piece,Vance Joy ,VuYYaZDNJXc,2021,Jul,2
Aquarium,Agar Agar ,D5TMePtPm1s,2021,Jul,1
Parfum thérémine,L'Impératrice ,J1XrEpIVEpY,2021,Jul,3
Tailwhip,Men I Trust ,RwH-LKnquHs,2021,Jul,2
Territory,The Blaze ,Q82lz-ncN2Y,2021,Jul,3
Gamesofluck,Parcels ,HxZFH-XCBvU,2021,Jul,3
Feels Right,Roosevelt ,NpxO-8o1RZw,2021,Jul,2
Coney Island Stroll,Slow Hands ,wRsifVOjiQw,2021,Jul,2
Shut Up Kiss Me,Angel Olsen ,HJS8sJFDSOg,2021,Jul,1
Need Your Love,Tennis ,do0vqmZBOnQ,2021,Jul,1
It'll All Work Out (Bonus Track),Phoebe Bridgers ,CDOaIcgUVEc,2021,Jul,1
I'm Fine,Hazel English ,3gzG5pwHYGE,2021,Jul,1
You Know Me Well,Sharon Van Etten ,pL6LqVD9aAo,2021,Jul,1
For Emma,Bon Iver ,4JjSyITsyIs,2021,Jul,1
The Only Thing,Sufjan Stevens ,2SxIdgrT1ug,2021,Jul,1
Souvenir,Julien Baker ,RPGcCvUf-mQ,2021,Jul,1
Flume,Bon Iver ,8NstorpFnjM,2021,Jul,1
John My Beloved,Sufjan Stevens ,ZlDXBlNNF5k,2021,Jul,1
Appointments,Julien Baker ,CQbyPnfDhjc,2021,Jul,1
Hardline,Julien Baker ,7jjOVGUQ4N8,2021,Jul,2
Salt In The Wound,Julien Baker ,TH5yudv2xT4,2021,Jul,1
Re: Stacks,Bon Iver ,3w68krri0bw,2021,Jul,1
"Ketchum, ID",Julien Baker ,5vPcrIsv5rg,2021,Jul,1
Punisher,Phoebe Bridgers ,ncSf8Nk3aq4,2021,Jul,1
Skinny Love,Bon Iver ,95FyXUHv8hk,2021,Jul,1
Shampoo Bottles,Peach Pit ,1e65rEVbZe4,2021,Jul,1
Blood Bank,Bon Iver ,KrUDT4HJCFU,2021,Jul,1
Chinese Satellite,Phoebe Bridgers ,i63yumCNdJs,2021,Jul,2
August 10,Khruangbin ,tgmrCmmlFv4,2021,Jul,1
Black Rain,Rhye ,3O8tacmSKKM,2021,Jul,2
Love's a Stranger,Warhaus ,H7v8agN4m0Q,2021,Jul,1
Evan Finds the Third Room,Khruangbin ,Bx8kmbJGfDk,2021,Jul,2
Red Is The Rose,Holy Hive ,I5ayoRi1Lpg,2021,Jul,1
Men I Trust - Norton Commander (All We Need),Men I Trust,qmVeQEysvtk,2021,Jul,1
Men I Trust - Lauren,Men I Trust,TNsSBhl_2LI,2021,Jul,1
Men I Trust - Tailwhip,Men I Trust,9IZKcb3LndA,2021,Jul,1
Men I Trust - Seven,Men I Trust,pnY7m5CK-as,2021,Jul,1
Men I Trust - Numb,Men I Trust,xAz_DzPUjrM,2021,Jul,1
Men I Trust: Tiny Desk (Home) Concert,NPR Music,wp7qctyVU2s,2021,Jul,1
Moonlight on the River,Mac DeMarco ,1VYbKamjB-4,2021,Jul,1
Belong,TENDER ,j5vqfFh0pJg,2021,Jul,1
Change Your Mind,CASTLEBEAT ,c6B0SHIt4Lw,2021,Jul,1
Myenemy,Parcels ,o9XE151jDxg,2021,Jul,1
Pogo Minogue,The Virginia Valley ,609Jlr3lv9Q,2021,Jul,1
The Player,Kid Francescoli ,_ytL_BwtrY4,2021,Jul,1
Makes Me Nervous,Bad Bad Hats ,UwUo119m1cg,2021,Jul,1
Nothing Clever,Old Sea Brigade ,URzutay8DeQ,2021,Jul,1
More Like You,Orla Gartland ,nhcDv6v6BjU,2021,Jul,1
We're Going Home,Vance Joy ,vAX_OMcSMkk,2021,Jul,1
December,Yumi Zouma ,TlX_GL68RQw,2021,Jul,1
Not That Kind,Hatchie ,_brxedWxqCo,2021,Jul,1
Visions,José González ,XOA8ooyxKJA,2021,Jul,1
Best Year,T. Evann ,o2yOkbfTLkI,2021,Jul,1
Tadow (Extended Version),Masego ,qQiqweTbrHs,2021,Jul,1
Taro,alt-J ,rGiirjRjrdk,2021,Jul,1
Went to War,Amason ,_8zhyvo-c0E,2021,Jul,1
Allaround,Parcels ,g3JTLCsA6Rc,2021,Jul,1
Overnight,Parcels ,tDcA7m8IyNk,2021,Jul,1
Outside,TENDER ,RSGw9nTqzlM,2021,Jul,1
No Diggity,Chet Faker ,6sxmHQDAzpo,2021,Jul,1
Loveless,Lo Moon ,KlUPBSG4H48,2021,Jul,1
The Spoils,Massive Attack ,5taWjLgI8w0,2021,Jul,1
Never Around,Albert Ryan ,xwhY42MYdL0,2021,Jul,1
Theatrical State of Mind,Papooz ,Xn6E6GxU0vU,2021,Jul,1
What About Hawaii,The Irons ,ZxUwBFGeIWM,2021,Jul,1
Better For Me,Fake Laugh ,2KAzYYTH2EY,2021,Jul,1
Seven,Men I Trust ,cckL4mfOC0E,2021,Jul,1
Heaven's Only Wishful (Extended Version),MorMor ,qZuqmNzCths,2021,Jul,1
Hideout,Parcels ,NCaGuyHfD6Q,2021,Jul,1
Tomb for Rockets,Feng Suave ,JKKTFc2rYSQ,2021,Jul,1
Dance in Place,CLAVVS ,EEMn_Dfj1PY,2021,Jul,1
Down the Line,Beach Fossils ,noV5ERlN-_Q,2021,Jul,1
apocalypse slowed (Slowed),3v3v3 ,94sS89PqbLE,2021,Jul,1
Selfish Lover,Mild Orange ,2HlIXbAeA3A,2021,Jul,1
midnight love,girl in red ,rfrFTkj3j_Q,2021,Jul,1
Comfort,Satchy ,EwhDrgww_Q8,2021,Jul,1
Only in My Dreams,The Marías ,HnXzzTIFu_U,2021,Jul,1
Show Me How,Men I Trust ,wSTYIyQxfPQ,2021,Jun,4
"Ketchum, ID",Julien Baker ,5vPcrIsv5rg,2021,Jun,1
Alewife,Clairo ,c0qxGPRDdtM,2021,Jun,1
Punisher,Phoebe Bridgers ,ncSf8Nk3aq4,2021,Jun,1
Favor,Julien Baker ,p1FuLaARTNA,2021,Jun,1
Shampoo Bottles,Peach Pit ,1e65rEVbZe4,2021,Jun,1
Live Well,Palace ,z-vFSFZ-h2o,2021,Jun,3
Drop the Guillotine,Peach Pit ,9RCSru8wkZM,2021,Jun,1
What Once Was,Her's ,l-rjYVI3OMo,2021,Jun,14
Salt In The Wound,Julien Baker ,TH5yudv2xT4,2021,Jun,1
Chicago,Sufjan Stevens ,edpLqHYp4XY,2021,Jun,1
I'll Be Fine,Palace ,k2Q68kXWLIM,2021,Jun,1
Blood Bank,Bon Iver ,KrUDT4HJCFU,2021,Jun,1
Seventeen,Sharon Van Etten ,appVdYONbrY,2021,Jun,1
Bags,Clairo ,TIb3Qlv4D1A,2021,Jun,1
Chinese Satellite,Phoebe Bridgers ,i63yumCNdJs,2021,Jun,1
Pretty Places,Aly & AJ ,wy_z8lHpdaw,2021,Jun,4
Angel,Sasha & The Valentines ,elxoPXkDGC0,2021,Jun,1
Right on Time,Nadia Reid ,XZycPvPBqqc,2021,Jun,1
Solar Power,Lorde ,D2HqSMD6NOc,2021,Jun,7
Yellow Moon,Amason ,K3l1KRhFrQ4,2021,Jun,1
To Swim,Methyl Ethel ,sVat0IiEjbw,2021,Jun,1
ABQ,The Marías ,IIzYkkny5vs,2021,Jun,1
Space Song,Beach House ,4VX1P_X5ZvA,2021,Jun,1
A Little While,Yellow Days ,7OopD1mdbL8,2021,Jun,1
Motion Sickness,Phoebe Bridgers ,iMr69JihnP4,2021,Jun,4
The Music Never Dies,Poni Hoax ,0lNP2e0Sm9A,2021,Jun,1
Bright (feat. LUEK),Daffodils ,ZZavTyqNbUQ,2021,Jun,1
August 10,Khruangbin ,tgmrCmmlFv4,2021,Jun,4
Bunker,Balthazar ,t7ghnCtOjjU,2021,Jun,13
closure,Taylor Swift ,ooK9GNSt1b8,2021,Jun,1
It Holds Me to the Bottom of a Heavy Pool,Ameliarose ,qGVs1eZo1o8,2021,Jun,1
Rocket Trip to Mars (Radio Edit),Fredrika Stahl ,ApfujQpchr0,2021,Jun,1
Trade It,Slow Pulp ,Dj77u3n0w5U,2021,Jun,1
Roll On,Dntel ,jQtRyCmoK5w,2021,Jun,1
Coney Island Stroll,Slow Hands ,wRsifVOjiQw,2021,Jun,2
AURORA - Half The World Away,iamAURORAVEVO,SYKU7DfEJT4,2021,Jun,3
One More Night,Michael Kiwanuka ,anzFiFhX7rA,2021,Jun,3
Good Love,Zola Blood ,kGPo8EAGCBs,2021,Jun,1
Red Is The Rose,Holy Hive ,I5ayoRi1Lpg,2021,Jun,1
No Diggity,Chet Faker ,6sxmHQDAzpo,2021,Jun,2
Handmade Ego,TENDER ,8stACJHXiRI,2021,Jun,1
Memory,Warhaus ,A6qA8-sLWJk,2021,Jun,1
The Spoils,Massive Attack ,5taWjLgI8w0,2021,Jun,1
Needed,Rhye ,_d6FsjBkOss,2021,Jun,1
Troubleman,Electric Guest ,f_KhSJvPT-g,2021,Jun,6
Prettiest Virgin,Agar Agar ,wa9iLZWEcoA,2021,Jun,14
Missing Piece,Vance Joy ,VuYYaZDNJXc,2021,Jun,1
Part of the Process,Morcheeba ,YHxtuwyC_Xk,2021,Jun,1
Clean White Love,Lisa Mitchell ,_uJ0wWJFFYU,2021,Jun,1
From the Ground Up (Acoustic),Wildlight ,ZwViC8_Iluc,2021,Jun,1
Blue Monday,Flunk ,9Zvz6fgVFtM,2021,Jun,1
Oh Wonder - Without You,OhWonderMusicVEVO,zLAhRiUeJ8E,2021,Jun,1
Mia Grace - don't come running back (Official Audio),mia grace music,KSIHyLS1giI,2021,Jun,2
AURORA - I Went Too Far,iamAURORAVEVO,eT6dLJd3rYk,2021,Jun,2
The Marías - Calling U Back (Official Video),The Marías,ic9QuIHlj6Q,2021,Jun,1
"Sufjan Stevens, ""Should Have Known Better"" (Official Audio)",Asthmatic Kitty Records,lJJT00wqlOo,2021,Jun,1
AURORA - Conqueror,iamAURORAVEVO,dmVAmlpbnD4,2021,Jun,1
"Sufjan Stevens - Mystery of Love (From ""Call Me By Your Name"" Soundtrack)",SonySoundtracksVEVO,4WTt69YO2VI,2021,Jun,1
Tearing Me Up,Bob Moses ,0RsfWZnIKf4,2021,Jun,5
Keeping Me Alive,Bob Moses ,MIweJM5BSgA,2021,Jun,1
The Marías - Little By Little (Official Audio),The Marías,dkqHTgdT8-w,2021,Jun,1
I Ain't Gonna Be The First To Cry,Bob Moses ,d2oUkNRdN_Q,2021,Jun,1
What You Don't Do (Tom Misch Remix),Lianne La Havas ,7vVpe8qFWPA,2021,Jun,1
Writing On The Wall,Bob Moses ,olmcREEDkTc,2021,Jun,1
Face Like Thunder,The Japanese House ,2Jx_Y3KK77I,2021,Jun,1
Dance in Place,CLAVVS ,EEMn_Dfj1PY,2021,Jun,2
Alone,Furns ,J5vuoAfkk98,2021,Jun,14
Comfort,Satchy ,EwhDrgww_Q8,2021,Jun,2
Testament,Sleepsk8 ,CmGRmi7geY0,2021,Jun,1
Close,Eric Ryan ,hVbZegPuRoU,2021,Jun,1
Clueless,The Marías ,M5W2IZ_aOOA,2021,Jun,6
Mysight,Mild Orange ,yc4MnVl6MlI,2021,Jun,6
We're Not Just Friends,"Parks, Squares and Alleys ",UURm6TA_unI,2021,Jun,8
Lavender Kiss,Juliette & The Licks ,7fKlAJUKduk,2021,Jun,7
The Beach,Røze ,mkYIKhV8PQ8,2021,Jun,5
In a Mood,TheSecondSex ,qafSZZl0_tY,2021,Jun,6
Pride,Brahny ,TLRoz3Qmbwc,2021,Jun,9
Pass The Hours,MorMor ,GM5uwmXAScY,2021,Jun,1
So We Won't Forget,Khruangbin ,H3Mv_A8szqk,2021,Jun,4
Overnight,Parcels ,tDcA7m8IyNk,2021,Jun,2
Moon (And It Went Like),Kid Francescoli ,UljWXU_izgs,2021,Jun,1
Tieduprightnow,Parcels ,JYHH0ogYN8M,2021,Jun,2
Sea,Roosevelt ,ySaOoYpSu7c,2021,Jun,1
Waiting on the Warmth,MorMor ,QGZR6apQxS0,2021,Jun,1
I Didn't Know,Skinshape ,mCgorrefSDA,2021,Jun,4
Don't Give Up,Washed Out ,kTvnQ2nygnw,2021,Jun,1
Heaven's Only Wishful (Extended Version),MorMor ,qZuqmNzCths,2021,Jun,1
Gamesofluck,Parcels ,HxZFH-XCBvU,2021,Jun,5
Comatose,Low Hum ,Ft8lBPRqU6o,2021,Jun,8
What She Said,MOSSS ,UP_U-h_6eUY,2021,Jun,3
Nebraska,Low Hum ,9CF0sZoRNvs,2021,Jun,4
Montreal,Roosevelt ,1Fuf7IkZj0Y,2021,Jun,10
Midnight Sun,Isaac Delusion ,zMTttYbi_4Q,2021,Jun,1
Bad Kingdom,Moderat ,6Ha30N8sVJE,2021,Jun,1
Loveless,Lo Moon ,KlUPBSG4H48,2021,Jun,4
"Despair, Hangover & Ecstasy",The Dø ,je_t9LDXjps,2021,Jun,1
Taro,alt-J ,rGiirjRjrdk,2021,Jun,1
Fever,Balthazar ,wo0Urr7hr0Q,2021,Jun,4
That's Alright,Deb Talan ,LdtLtgWmrYU,2021,Jun,1
Lighthouse,Mirah ,MzrPOHHbkQY,2021,Jun,1
I Wonder,Meiko ,pt6kaC4NhUA,2021,Jun,1
Give It A Rest,Poolside ,A92fajtFFW0,2021,Jun,1
Evan Finds the Third Room,Khruangbin ,Bx8kmbJGfDk,2021,Jun,1
Fight or Flight or Dance All Night,Kommode ,OKXKWDvHSQM,2021,Jun,1
People Everywhere (Still Alive),Khruangbin ,uA__WS4RU2w,2021,Jun,1
Black Rain,Rhye ,3O8tacmSKKM,2021,Jun,1
Theatrical State of Mind,Papooz ,Xn6E6GxU0vU,2021,Jun,5
Leila (Poolside Remix) (Mixed),Miami Horror ,O8GfQGq3dNI,2021,Jun,1
The Look,Metronomy ,tPEt7pJ1zMs,2021,Jun,5
Tailwhip,Men I Trust ,RwH-LKnquHs,2021,Jun,7
Lady-Logic,Kommode ,GFLOOKWb_ts,2021,Jun,6
Lorde - Solar Power,LordeVEVO,wvsP_lzh2-8,2021,Jun,3
Nostalgia (RAC Mix),Doe Paoro ,k7jRbGUSjJs,2021,Jun,1
Love Unlimited,Blackbird Blackbird ,GsYv-gcReCM,2021,Jun,1
Last Years Troubles,Suzanne Vega ,7rj9WFmBJVo,2021,Jun,1
Found My Friends,Hayley Kiyoko ,_NrYVcog5YQ,2021,Jun,1
Confidence Man - Out the Window,ConfidenceManVEVO,XQGwjhDANVA,2021,Jun,1
Parfum thérémine,L'Impératrice ,J1XrEpIVEpY,2021,Jun,2
Wake Up,Macy Gray ,IOQYpLjL13w,2021,Jun,1
Beautiful Strangers,Kevin Morby ,unLkETxWRAo,2021,Jun,1
Fool of You,Meltt ,mgD1fz-QlLo,2021,Jun,4
Ruthless,The Marías ,s-8lUvdmnlQ,2021,Jun,6
"Honey, There's No Time",Feng Suave ,PEfaZalU7yE,2021,Jun,3
Techno Show,Peach Pit ,DSqvSO4Llzw,2021,Jun,1
All I Want,Moon Monsoon ,hViNmzEIxFs,2021,Jun,3
Sweet FA,Peach Pit ,UWnPtAlNwJE,2021,Jun,2
Forever,Night Tapes ,t3T9kdNeUSE,2021,Jun,2
Tommy's Party,Peach Pit ,9M-Iinvaxcs,2021,Jun,1
Auburn,Brahny ,sVPzmG9qGLw,2021,Jun,3
Night Time (feat. Line Gøttsche) (NTEIBINT Remix),Borneland & Falcon Punch ,x7wyAQcMV6M,2021,Jun,1
Next Year,Jaguar Sun ,OVUXpaEDTv8,2021,Jun,1
Someday,Münechild ,paEL56RnMxc,2021,Jun,2
Lauren,Men I Trust ,iZcOYmMyG-E,2021,Jun,11
No Giving Up,sir Was ,YqsbeMx_YKE,2021,Jun,1
Territory,The Blaze ,Q82lz-ncN2Y,2021,Jun,7
Blood Red,Low & Behold ,oi0UlkbS6GE,2021,Jun,1
Metamodernity,Vansire ,LHsVtH0CS7I,2021,Jun,1
Only in My Dreams,The Marías ,HnXzzTIFu_U,2021,Jun,2
Dancing,Mellow Fellow ,MaH_WX8CS7c,2021,Jun,4
Over the Moon,The Marías ,Ah_Ig6wggtI,2021,Jun,5
Harvey,Her's ,z86-S122rLU,2021,Jun,7
Venus Flytrap,Feng Suave ,TBVETELcmv0,2021,Jun,4
I Don't Know You,The Marías ,1GU1jvNMaXE,2021,Jun,7
Lucky Love,Michael Seyer ,M_nk5xth_AU,2021,Jun,7
Numb,Men I Trust ,HwBFSyIcIFI,2021,Jun,4
Landing,Zimmer ,mdoWKea1ctY,2021,Jun,2
On Your Mind,Emi Choi ,X54J-L01VdA,2021,Jun,1
A & E,Goldfrapp ,zqabmoUbbNA,2021,Jun,1
Dreaming of You (Vibes4YourSoul Remix),L'Impératrice ,DHQ5KF8lfkI,2021,Jun,1
The Barrel,Aldous Harding ,Ws3XVUlKXQ4,2021,Jun,1
She Needs Him,Her's ,gi439Wul758,2021,Jun,7
Sunday,Foals ,VpqMOO4RofY,2021,Jun,1
Days,No Vacation ,edsPK5Ve9fc,2021,Jun,2
midnight love,girl in red ,rfrFTkj3j_Q,2021,Jun,1
Games,Tessa Violet ,oSSZA8Kje3s,2021,Jun,1
Special Girl,dodie ,supRYViRFOY,2021,Jun,1
Like I Used To,Sharon Van Etten ,ao7vn5dTfDU,2021,Jun,1
Monsta,BENEE ,E2IsYMGtyQc,2021,Jun,4
TENET Official Soundtrack | RAINY NIGHT IN TALLINN - Ludwig Göransson | WaterTower,WaterTower Music,8N768T-5Ujs,2021,Jun,1
O-Zone - Dragostea Din Tei [Official Video],Time Records,YnopHCL1Jk8,2021,Jun,1
I Hope to Be Around,Men I Trust ,kEcPI54XZDI,2021,Jun,7
Roddy,Djo ,g4etzBUeUT8,2021,Jun,1
Lightenup,Parcels ,e95AYrvZIno,2021,Jun,4
Men I Trust - Oncle Jazz (Full Album HQ),Men I Trust,iVg30U6O764,2021,Jun,1
Air,Men I Trust ,Tg5kgUo608M,2021,Jun,2
Mild Orange - Foreplay [Full Album],Nice Guys,1hrUaOrIQR4,2021,Jun,1
Locket,Crumb ,xKmqwrQFlpA,2021,Jun,9
Honey,Johnny Balik ,zfTzIoAqjis,2021,Jun,4
Forever Nobody,L'Impératrice ,mPP-dCzmBxk,2021,Jun,4
What I Mean,TheSecondSex ,2XcNvm9siqo,2021,Jun,3
Grimes - Oblivion,GrimesVEVO,JtH68PJIQLE,2021,Jun,2
Want You Back,HAIM ,Vv8UGTRor7I,2021,Jun,3
Beach House - PPP,Sub Pop,NFhJRTdmviA,2021,Jun,1
It Might Be Time,Tame Impala ,F9TiuqPXAoM,2021,Jun,2
Là-haut,L'Impératrice ,t7sF1xKQGq8,2021,Jun,2
La lune,L'Impératrice ,VaPAKSdpFuU,2021,Jun,2
Odyssée,L'Impératrice ,Mzup2mT3TBg,2021,Jun,2
Her’s - What Once Was | Sofar London,Sofar Sounds,OndyizSdCEE,2021,Jun,2
Mopedbart,Hubbabubbaklubb ,UHxsG5ijQrU,2021,Jun,2
NDGO (SCHAARUP Remix),Nankoo ,gEuxQWqAlNs,2021,Jun,1
I Won't Be There,Skinshape ,Gte3m_-jyCw,2021,Jun,1
Glory (Keith Sweaty Remix),Wye Oak ,gSQtPVqoclg,2021,Jun,1
The Player,Kid Francescoli ,_ytL_BwtrY4,2021,Jun,3
Vengeance,Zack Hemsey ,pQGPEEKRrUI,2021,Jun,1
RAINY NIGHT IN TALLINN,Ludwig Göransson ,p0tQLPPYcRY,2021,Jun,1
POSTERITY,Ludwig Göransson ,Xdcpxs7wh90,2021,Jun,1
Telephone (Roosevelt Remix),Sinkane ,33YQKOOTZMQ,2021,Jun,2
Dream,Husbands ,-8GGJc3Bee4,2021,Jun,1
Pogo Minogue,The Virginia Valley ,609Jlr3lv9Q,2021,Jun,2
Charlotte Sometimes (Single 10/81),The Cure ,9DQD1ZNsMvI,2021,Jun,1
"Toking, Dozing",Feng Suave ,XbX8cj-c-nE,2021,Jun,1
Ghostride,Crumb ,62vYyjnY95k,2021,Jun,2
Moon Undah Water,Puma Blue ,_Jh54sLPCmg,2021,Jun,1
affection,BETWEEN FRIENDS ,frPT7NLjipg,2021,Jun,2
my future,Billie Eilish ,LRq3xHN2s_c,2021,Jun,1
