Song,Artist,Link,Total
Kyoto,Phoebe Bridgers ,Ubt_qaac_wM,21
Saw You in a Dream,The Japanese House ,NwnZyZ82UEs,2
Lauren,Men I Trust ,iZcOYmMyG-E,47
Every Time Around,Vansire ,ENJZshdeuWI,5
Sinking,Clairo ,2ZGnKFSluiQ,5
Love Again,Meltt ,1SRO1VTIuMs,22
Hold It Together,The Marías ,UgctoczKTeM,11
Lucky Sue,Men I Trust ,tjiKTO3KTv0,4
Softly,Clairo ,u1l2WIxrJVQ,45
Motion Sickness,Phoebe Bridgers ,iMr69JihnP4,20
Basta Ya,The Marías ,kPb7qcwwHSk,5
Maybe You're the Reason,The Japanese House ,cKpMj1MHzvw,7
Sweater Weather,The Neighbourhood ,Ao81ziiXHhs,2
Better,SG Lewis ,gG2RTa7Sybg,12
Impossible,Clairo ,Qz174ODNvNI,44
For You,"Luna, Luna ",Lpi5TmRaNcY,1
You and I,Jakob ,SVQpc9SiAq8,1
Good Morning,Ralph Castelli ,rzKfNvqQKsQ,2
Halcyon Age,Vansire ,sbqN4AlgPxY,7
I Can't Dance,Michael Seyer ,NY_UFLqb324,2
Dorothy,Her's ,P3zy9q1TVUk,7
Fool of You,Meltt ,mgD1fz-QlLo,28
Morning Sex,Ralph Castelli ,J6fpHwsUCHs,11
Medieval,Her's ,DGpC42B0GKE,1
Pride,Brahny ,TLRoz3Qmbwc,19
I Left My Heart Strings near San Francisco,Michael Seyer ,1yKZIqdaZe4,3
Pretty Girls,Michael Seyer ,_0KCvRqKISQ,12
Numb,Men I Trust ,HwBFSyIcIFI,38
Drawn to the Blood,Sufjan Stevens ,tNlo9bZ3YKc,7
Futile Devices,Sufjan Stevens ,RaKXCrogzfk,55
Rosyln,St. Vincent ,uVo_xKDFUZ0,1
Driving to Hawaii,Summer Salt ,Mfb1wGfn3Zs,1
Heaven,Clairo ,1d3iOGIB10I,19
Eleven Weeks,Vansire ,21_GfqwZbko,3
"So Sad, So Sad",VARSITY ,2C9Z5zO4g6c,9
Mystery of Love,Sufjan Stevens ,8ECPu3iumnE,55
Reach Out,Sufjan Stevens ,gGvbozeqTFQ,1
Fade Into You,Mazzy Star ,avv2IIdDnnk,14
Wanderer,Angelo De Augustine ,S2yquBZWHsY,1
The Night We Met,Lord Huron ,esMMHzePMVk,2
Nature of Belonging,Thad Kopec ,_ETgbWB93cQ,1
John My Beloved,Sufjan Stevens ,ZlDXBlNNF5k,5
Good Morning Mr. Wolf,Patrick Watson ,c5ORy8jyDpc,1
Should Have Known Better,Sufjan Stevens ,-V079uSLYcw,27
Cool Blue,The Japanese House ,gyF15HTWxNA,3
I Hope to Be Around,Men I Trust ,kEcPI54XZDI,40
Visions of Gideon,Sufjan Stevens ,zlxDu7WSWss,51
All the Trees of the Field Will Clap Their Hands,Sufjan Stevens ,JHul8vzXsV8,1
Astoria,Far Caspian ,SKMLY4zmELw,9
All for Myself,Sufjan Stevens ,dI2D3s5LvEE,1
Like Real People Do,Hozier ,uPxvvmlkNHw,1
Turn Out The Lights,Patrick Watson ,SNxGJGs7FnM,1
Flint (For the Unemployed and Underpaid),Sufjan Stevens ,qlPN7_h_OYo,1
Hit Me Right,Johnny Goth ,DGRS1UxAfT4,1
"Decatur, or, Round of Applause for Your Step-Mother!",Sufjan Stevens ,694Ok4_8kCg,2
we fell in love in october,girl in red ,4DyV0hWOdQw,3
Fear of the Water,SYML ,pJgCT_D3aT4,4
