Song,Artist,Link,Total
Used to the Darkness,Des Rocs ,mHN0_cYUibE,1
Syrups,Foals ,8ifp22reM-o,1
Under Control,The Strokes ,4895ajU27b0,1
Eternal Summer,The Strokes ,tFAx-B71jLQ,7
Questions,Far Caspian ,cDSzXrgc7YU,1
Stuck,Circa Waves ,4nvog47oSeA,1
London Thunder,Foals ,UAiYLEsJNpY,8
Out of the Black,Royal Blood ,Ob5qbhPBUEQ,1
Distant,The Kents ,zdzHtchc7n0,1
Is Everybody Going Crazy?,Nothing but Thieves ,69ny1l5KnWA,1
Là-haut,L'Impératrice ,t7sF1xKQGq8,3
Afterlife,Nothing but Thieves ,-NVTjHokGGM,2
Crawl,TENDER ,MnHLyyMu5_0,1
Lana Del Rey - Ultraviolence,LanaDelReyVEVO,ZFWC4SiZBao,1
"Lana Del Rey - Summer Bummer (Official Audio) ft. A$AP Rocky, Playboi Carti",LanaDelReyVEVO,AcVQJJoD45w,1
Lana Del Rey - Born To Die (Official Music Video),LanaDelReyVEVO,Bag1gUxuU0g,3
Lana Del Rey - Shades Of Cool,LanaDelReyVEVO,rJABBmAMXnY,1
Lana Del Rey - West Coast,LanaDelReyVEVO,oKxuiw3iMBE,2
K. - Cigarettes After Sex,CigarettesAfterSex,L4sbDxR22z4,7
It Might Be Time,Tame Impala ,F9TiuqPXAoM,3
Nostalgic Feel,Bedroom ,GvVLGHAbF1U,5
Automatic Stop,The Strokes ,wveUjX6KFR8,1
Hard To Explain,The Strokes ,ay3AFRcq5b4,4
Second Life with Emily,Peach Pit ,MEwBnSH4PYw,2
Chagu's Sideturn,Peach Pit ,ZnvhKavR_Mw,2
Holding On,Far Caspian ,hKR1Kj44KSw,2
"Did I Make You Cry on Christmas Day? (Well, You Deserved it!)",Peach Pit ,H9Cp6jxvRi8,5
Not Me,Peach Pit ,SrTBHKcus4M,2
Techno Show,Peach Pit ,DSqvSO4Llzw,6
Desire Be Desire Go,Tame Impala ,iuytZlmOytU,1
Astronaut (Something About Your Love),Mansionair ,c9WJFdwh5Qg,1
Past Lives,BØRNS ,eLOH-1uYt9w,1
Ophelia,The Lumineers ,BG05dUhFeKM,1
Still Sane,Lorde ,ArmhkXCFl9Q,1
Peach Pit - Alrighty Aphrodite (Live),PEACH PIT,2fQot8XdGtc,3
Her's - Harvey,Her's,8gnSgWRCV1A,1
Low Hum - Comatose,LOW HUM,JRLFr6THaTI,27
Men I Trust - Show Me How (garage session),Men I Trust,cpU7Yrl-AwM,2
Don't You See,Great Gable ,n2v1RMuFVac,1
Colours,Goth Babe ,t5T6xaW4UcM,1
Too Much Tension,Meltt ,Wvt-VfvJc_Q,1
Conversations,Far Caspian ,_dnE7Mq-6qY,3
We'll See,Meltt ,6QCQ3szTdVk,1
"New Person, Same Old Mistakes",Tame Impala ,tEXYfT_G0W0,7
Shake the Fire,Sampson ,EDRtt95Od2M,1
Work Song,Hozier ,0i4-xhi0Tns,1
Alter Ego,Tame Impala ,M8ep7f8fFSI,1
[Joe Gets Kicked Out of School for Using] Drugs With Friends (But Says This Isn't a Problem),Car Seat Headrest ,RnMq7kX_bmU,1
Phoebe Bridgers - Kyoto (Official Video),PhoebeBridgersVEVO,Tw0zYd0eIlk,8
Phoebe Bridgers - Garden Song (Official Video),Phoebe Bridgers,1u8rIx65QgA,1
Stargazing,The Neighbourhood ,NhO5-OUecvY,1
Slow Love,TENDER ,OO8nbjNmA8Q,2
American Money,BØRNS ,cg3RShwOi7E,1
Welcome To Japan,The Strokes ,IZg4rz3cIDc,1
I know you'll bring us back,The Diogenes Club ,mi7Xy46xu-0,1
Lana Del Rey - Doin' Time,LanaDelReyVEVO,qolmz4FlnZ0,3
Labrinth – Forever (Official Audio) | euphoria (Original Score from the HBO Series),Labrinth,03nR6eWanXs,1
"CHROMATICS ""GIRLS JUST WANNA HAVE SOME"" (Official Video)",Italians Do It Better Music,pfjDNCQQaFU,1
The xx - Together,The xx,yoj2I6ZJLx8,1
Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),SiaVEVO,KWZGAExj-es,3
Only For You,Great Gable ,M6HANytH070,2
Sesame Syrup,Cigarettes After Sex ,Ug3dJ6itKBY,2
Falling In Love,Cigarettes After Sex ,ngg5-nC3K0c,4
Black Car,Beach House ,c-1P5fm5yHM,1
Oracolo,Skinshape ,UAcJfUxWQ5c,2
Silver Soul,Beach House ,VbXKx96Lc7E,1
Wash Over Me,Meltt ,6z1qYaI32_A,3
Call Me Joker,Hildur Guðnadóttir ,8xxl0_qW9kk,3
Hazel English - I'm Fine [Official Lyrics Video],Hazel English,lYcp1bUb4lU,31
The Japanese House - Lilo,TheJapaneseHouseVEVO,J88UF4HxHhw,16
Legion,TENDER ,yoBkziNdwGc,1
Talk,Bob Moses ,6kg9IKzLweg,1
pink hue,slenderbodies ,NNuupI2xtf4,1
Erode,TENDER ,8n7ICSufHHY,1
Illuminate,TENDER ,4A5WIG31Z6Y,1
Bluecid,Sevdaliza ,ZuSLeUvAZEo,1
Gold,Chet Faker ,LnhhinlkZt8,4
Ain't Gonna Call,Yellow House ,f7MMNHRWoJU,1
More or Less,TENDER ,Iu7dwkh1YnY,1
Islands,Zola Blood ,OxLnVN7mW6Q,1
Undone,Phoria ,LVibt_WcF6Q,1
Violet City,Mansionair ,umVyROcz54Y,1
Running,Abi Ocia ,6Wsv7rE4Jdc,1
Touch,Cigarettes After Sex ,ZjHNKA-Dq2U,1
Lana Del Rey - Video Games,LanaDelReyVEVO,cE6wxDqdOV0,3
Room To Breathe,Low Hum ,iVOYxkYvt50,6
Vengeance,Zack Hemsey ,pQGPEEKRrUI,2
747,Ludwig Göransson ,_uJDnBAikrQ,10
FOILS,Ludwig Göransson ,tODW3YPAclA,4
Tainted,TENDER ,7gxZ23EW5MQ,1
Sweet Emotion,The Kooks ,Gw78CTKEZNA,2
Take Me To Church,Hozier ,4FQqLoxu5JY,3
I Went Too Far,AURORA ,-Z9lAvNgySU,3
The Strokes - Why Are Sundays So Depressing (Audio),thestrokesVEVO,2KSpDNlsVF4,2
The Strokes - Reptilia (Official Music Video),thestrokesVEVO,b8-tXG8KrWs,3
Apocalypse,Cigarettes After Sex ,Wn3r7ehvmGU,9
You're All I Want,Cigarettes After Sex ,OVy41wSFdiE,2
You Killed Me on the Moon,BLOW ,p0epqR6lTEI,1
Birch Tree,Strawberry Guy ,e6CmyOcbYMQ,1
80's Comedown Machine,The Strokes ,rergwIA70Hw,1
Changing,Ice Cream Boy ,s39yd4jrYZ4,1
17,Youth Lagoon ,XCnuLttRKaU,1
You Showed Me,Haley Reinhart ,5utgkpWjSGA,1
ZAYN - Dusk Till Dawn (Official Video) ft. Sia,ZaynVEVO,tt2k8PGm-TI,2
"Lana Del Rey - Young and Beautiful (from ""The Great Gatsby"" Soundtrack)",Lana Del Rey,Te11UaHOHMQ,1
The Weeknd - Call Out My Name (Official Video),TheWeekndVEVO,M4ZoCHID9GI,4
You're All I Want - Cigarettes After Sex,CigarettesAfterSex,BZ6D9SEvBHs,2
You Only Live Once,The Strokes ,6FnbPTaoahM,4
One Way Trigger,The Strokes ,FwilA-UcGW4,2
Heart In a Cage,The Strokes ,grjUGt7z8jA,1
Bad Decisions,The Strokes ,ES4nBVwjpiU,5
Holocene,Bon Iver ,pvC5YD-IjL0,2
The Look,Metronomy ,tPEt7pJ1zMs,28
Brooklyn Bridge To Chorus,The Strokes ,zTlAwIPUV7w,3
Pretty Sexual,Dreamgirl ,XmstRBj9YUQ,1
All U Wanna Do Is Dance,Dreamgirl ,9bQXVdbmZFs,1
Without You,Strawberry Guy ,uL-hrXIU49Y,3
TENDER - Outside (Official Audio),TenderVEVO,iPdJM_7CgU8,1
The Trapeze Swinger,Iron & Wine ,1cKKVz6GEVs,1
Kiss It Off Me,Cigarettes After Sex ,JQh6vNdjtZY,1
Drunk In LA,Beach House ,40TjlDv-4ao,1
Futile Devices (Doveman Remix),Sufjan Stevens ,UEBPTUbpLoY,1
Sleeping Season,Flower Face ,wuyHXD8qaB0,1
Forgotten Love,AURORA ,Pm0GiTTAXUc,2
Pure,Cigarettes After Sex ,cBX0TQ03-9g,1
Waves,NewDad ,9fhuY4UEYpE,1
The Message,Still Corners ,WaKCMPRkzIQ,2
Redbone,Childish Gambino ,H_HkRMOwwGo,3
Bemyself,Parcels ,2gl8CC1GXu4,1
Prettiest Virgin,Agar Agar ,wa9iLZWEcoA,61
Back Seat,Atlas Genius ,Ldnh1HLrlJQ,1
The longest day,The Diogenes Club ,S2wVeJZ4-v8,1
Red Socks Pugie,Foals ,H6RcLVsejMc,1
All The Time,The Strokes ,8Zmr7phCSkc,2
Threat of Joy,The Strokes ,GZyr711PgXk,2
Taken for a Fool,The Strokes ,tJoOmUp3XYQ,2
Good Time,Teenanger ,X41U6T4FBeU,3
Cure For Me,AURORA ,YWddXSShQI8,1
Young,Vacations ,v_IhB3VkJdA,1
Call It What You Want,Foster the People ,amjuGwGyPUg,1
Nevermind,Foster the People ,RcPzq0zFWsw,3
Best Friend,Foster the People ,GjCilX5bivo,2
The Bay,Metronomy ,4YRh-Dm99Es,4
Fever,Balthazar ,wo0Urr7hr0Q,8
Isabella,Isaac Delusion ,YBrirDz0Ww8,13
Virile,The Blaze ,mRwAjRe67bo,3
Alone,Furns ,J5vuoAfkk98,26
Bunker,Balthazar ,t7ghnCtOjjU,30
Why Can't I Have You,Gloria Laing ,ZeHwynUVxBw,5
Angela,Flower Face ,9xmDUSyP268,3
Can't Stop,Red Hot Chili Peppers ,D4INE2zO9OU,1
Young Folks,Peter Bjorn and John ,tUsH87zLvAg,1
Island In The Sun,Weezer ,beX-9wW5rL0,1
The Suburbs,Arcade Fire ,D1r9_zdygpw,1
Someday,The Strokes ,2u4ZlLpY7_Y,1
Damned Eye See,Chelou ,7zTdyrrKKzo,1
House & Farm,Boy & Bear ,lhdCvat2E6E,1
Awake,Electric Guest ,mVeyD7fAXaU,2
Everything Goes My Way,Metronomy ,9NDHx37YQpU,3
Sweet Disposition,The Temper Trap ,wmFTYyBM2-I,1
Halfway to Nowhere,Chelou ,llQMEOVsy2w,1
Hey You,Dope Lemon ,n5FLvnK0kBk,1
American Daydream,Electric Guest ,UGKbqjOHEW4,2
Exits,Foals ,nMTrLtm_1GA,1
Familiar,Agnes Obel ,Izk-40vclJs,2
Moral of the Story,Ashe ,Is9fu7IzuQ4,1
Parcels ~ Gamesofluck (Official Audio),Parcels,O8mqObs7gv0,3
Men I Trust - Days Go By,Men I Trust,bCDQN8iDCzo,16
Beach House - PPP,Sub Pop,NFhJRTdmviA,4
"The Lumineers - ""Stubborn Love"" (Official Video)",The Lumineers,UJWk_KNbDHo,6
Down by the Pecan Tree,Otemma ,Hw86w3atcP4,1
Dark Days,Local Natives ,4BQ8_gYIY8s,1
You're Somebody Else,Flora Cash ,Vey3A4FMc_4,1
Casimir Pulaski Day,Sufjan Stevens ,TfEkDqP34xo,8
Fake Laugh - Better For Me (Official Audio),Fake Laugh,Spf8aiEs7-E,1
How To Connect Two LED Strips Together EASY (WITHOUT Soldering OR Extra Wires),LeonBrattMusic,vsEIvc1LkpI,1
Poolside – Harvest Moon (Official Audio),Poolside,suWbFPaVoEA,1
Blouse,Clairo ,E7EhIyjXi9c,2
Pretty Places,Aly & AJ ,wy_z8lHpdaw,9
Bite The Hand,Julien Baker ,hZlR6DjehDc,10
Riptide,Vance Joy ,MsTWpbR_TVE,3
A Thousand Years,Christina Perri ,TA1W-pHNKl8,1
Sedated,Hozier ,yxP3wpXy_d4,1
Soft Universe,AURORA ,daHIgxDSLMY,1
Winter Bird,AURORA ,d3O8XiPQO_s,2
Animals,Lisa Mitchell ,er6aYDNEI0k,1
Clean White Love,Lisa Mitchell ,_uJ0wWJFFYU,2
Like I Used To,Sharon Van Etten ,ao7vn5dTfDU,2
"Hey, Ma",Bon Iver ,1Fa9ZDy-EJg,2
Garden Song,Phoebe Bridgers ,ekXfx-rQ3Ww,4
I Know The End,Phoebe Bridgers ,ZC6mEJ5i5y8,29
Missing Piece,Vance Joy ,VuYYaZDNJXc,3
Aquarium,Agar Agar ,D5TMePtPm1s,3
Territory,The Blaze ,Q82lz-ncN2Y,16
Gamesofluck,Parcels ,HxZFH-XCBvU,25
Feels Right,Roosevelt ,NpxO-8o1RZw,2
Coney Island Stroll,Slow Hands ,wRsifVOjiQw,6
Shut Up Kiss Me,Angel Olsen ,HJS8sJFDSOg,2
Need Your Love,Tennis ,do0vqmZBOnQ,2
It'll All Work Out (Bonus Track),Phoebe Bridgers ,CDOaIcgUVEc,2
I'm Fine,Hazel English ,3gzG5pwHYGE,2
You Know Me Well,Sharon Van Etten ,pL6LqVD9aAo,1
For Emma,Bon Iver ,4JjSyITsyIs,1
Souvenir,Julien Baker ,RPGcCvUf-mQ,8
Appointments,Julien Baker ,CQbyPnfDhjc,7
Hardline,Julien Baker ,7jjOVGUQ4N8,2
Salt In The Wound,Julien Baker ,TH5yudv2xT4,9
"Ketchum, ID",Julien Baker ,5vPcrIsv5rg,7
Punisher,Phoebe Bridgers ,ncSf8Nk3aq4,6
Shampoo Bottles,Peach Pit ,1e65rEVbZe4,4
Blood Bank,Bon Iver ,KrUDT4HJCFU,2
Chinese Satellite,Phoebe Bridgers ,i63yumCNdJs,19
August 10,Khruangbin ,tgmrCmmlFv4,5
Black Rain,Rhye ,3O8tacmSKKM,5
Love's a Stranger,Warhaus ,H7v8agN4m0Q,1
Evan Finds the Third Room,Khruangbin ,Bx8kmbJGfDk,3
Red Is The Rose,Holy Hive ,I5ayoRi1Lpg,2
Men I Trust - Norton Commander (All We Need),Men I Trust,qmVeQEysvtk,23
Men I Trust - Lauren,Men I Trust,TNsSBhl_2LI,25
Men I Trust - Tailwhip,Men I Trust,9IZKcb3LndA,18
Men I Trust - Numb,Men I Trust,xAz_DzPUjrM,12
Men I Trust: Tiny Desk (Home) Concert,NPR Music,wp7qctyVU2s,1
Moonlight on the River,Mac DeMarco ,1VYbKamjB-4,1
Belong,TENDER ,j5vqfFh0pJg,1
Myenemy,Parcels ,o9XE151jDxg,6
Pogo Minogue,The Virginia Valley ,609Jlr3lv9Q,7
The Player,Kid Francescoli ,_ytL_BwtrY4,17
Makes Me Nervous,Bad Bad Hats ,UwUo119m1cg,1
Nothing Clever,Old Sea Brigade ,URzutay8DeQ,1
More Like You,Orla Gartland ,nhcDv6v6BjU,1
We're Going Home,Vance Joy ,vAX_OMcSMkk,1
December,Yumi Zouma ,TlX_GL68RQw,1
Not That Kind,Hatchie ,_brxedWxqCo,1
Visions,José González ,XOA8ooyxKJA,1
Best Year,T. Evann ,o2yOkbfTLkI,1
Taro,alt-J ,rGiirjRjrdk,2
Went to War,Amason ,_8zhyvo-c0E,2
Allaround,Parcels ,g3JTLCsA6Rc,6
No Diggity,Chet Faker ,6sxmHQDAzpo,3
The Spoils,Massive Attack ,5taWjLgI8w0,2
Never Around,Albert Ryan ,xwhY42MYdL0,2
Theatrical State of Mind,Papooz ,Xn6E6GxU0vU,17
What About Hawaii,The Irons ,ZxUwBFGeIWM,1
Hideout,Parcels ,NCaGuyHfD6Q,10
Tomb for Rockets,Feng Suave ,JKKTFc2rYSQ,1
Dance in Place,CLAVVS ,EEMn_Dfj1PY,5
Down the Line,Beach Fossils ,noV5ERlN-_Q,1
apocalypse slowed (Slowed),3v3v3 ,94sS89PqbLE,2
Comfort,Satchy ,EwhDrgww_Q8,3
Favor,Julien Baker ,p1FuLaARTNA,1
I'll Be Fine,Palace ,k2Q68kXWLIM,1
Seventeen,Sharon Van Etten ,appVdYONbrY,2
Angel,Sasha & The Valentines ,elxoPXkDGC0,1
Right on Time,Nadia Reid ,XZycPvPBqqc,1
Yellow Moon,Amason ,K3l1KRhFrQ4,1
To Swim,Methyl Ethel ,sVat0IiEjbw,1
The Music Never Dies,Poni Hoax ,0lNP2e0Sm9A,1
Bright (feat. LUEK),Daffodils ,ZZavTyqNbUQ,1
closure,Taylor Swift ,ooK9GNSt1b8,1
It Holds Me to the Bottom of a Heavy Pool,Ameliarose ,qGVs1eZo1o8,1
Rocket Trip to Mars (Radio Edit),Fredrika Stahl ,ApfujQpchr0,1
Trade It,Slow Pulp ,Dj77u3n0w5U,1
Roll On,Dntel ,jQtRyCmoK5w,1
AURORA - Half The World Away,iamAURORAVEVO,SYKU7DfEJT4,19
Good Love,Zola Blood ,kGPo8EAGCBs,1
Memory,Warhaus ,A6qA8-sLWJk,1
Needed,Rhye ,_d6FsjBkOss,1
Part of the Process,Morcheeba ,YHxtuwyC_Xk,1
From the Ground Up (Acoustic),Wildlight ,ZwViC8_Iluc,1
Blue Monday,Flunk ,9Zvz6fgVFtM,1
Oh Wonder - Without You,OhWonderMusicVEVO,zLAhRiUeJ8E,19
Mia Grace - don't come running back (Official Audio),mia grace music,KSIHyLS1giI,2
AURORA - I Went Too Far,iamAURORAVEVO,eT6dLJd3rYk,17
The Marías - Calling U Back (Official Video),The Marías,ic9QuIHlj6Q,1
"Sufjan Stevens, ""Should Have Known Better"" (Official Audio)",Asthmatic Kitty Records,lJJT00wqlOo,55
AURORA - Conqueror,iamAURORAVEVO,dmVAmlpbnD4,14
Tearing Me Up,Bob Moses ,0RsfWZnIKf4,7
The Marías - Little By Little (Official Audio),The Marías,dkqHTgdT8-w,1
I Ain't Gonna Be The First To Cry,Bob Moses ,d2oUkNRdN_Q,2
What You Don't Do (Tom Misch Remix),Lianne La Havas ,7vVpe8qFWPA,1
Writing On The Wall,Bob Moses ,olmcREEDkTc,2
Face Like Thunder,The Japanese House ,2Jx_Y3KK77I,1
Testament,Sleepsk8 ,CmGRmi7geY0,1
Close,Eric Ryan ,hVbZegPuRoU,1
The Beach,Røze ,mkYIKhV8PQ8,5
Pass The Hours,MorMor ,GM5uwmXAScY,2
So We Won't Forget,Khruangbin ,H3Mv_A8szqk,6
Moon (And It Went Like),Kid Francescoli ,UljWXU_izgs,6
Sea,Roosevelt ,ySaOoYpSu7c,2
Waiting on the Warmth,MorMor ,QGZR6apQxS0,1
Don't Give Up,Washed Out ,kTvnQ2nygnw,1
What She Said,MOSSS ,UP_U-h_6eUY,3
Midnight Sun,Isaac Delusion ,zMTttYbi_4Q,1
Bad Kingdom,Moderat ,6Ha30N8sVJE,1
"Despair, Hangover & Ecstasy",The Dø ,je_t9LDXjps,1
That's Alright,Deb Talan ,LdtLtgWmrYU,1
Lighthouse,Mirah ,MzrPOHHbkQY,1
I Wonder,Meiko ,pt6kaC4NhUA,1
Give It A Rest,Poolside ,A92fajtFFW0,1
Fight or Flight or Dance All Night,Kommode ,OKXKWDvHSQM,1
People Everywhere (Still Alive),Khruangbin ,uA__WS4RU2w,1
Leila (Poolside Remix) (Mixed),Miami Horror ,O8GfQGq3dNI,1
Lady-Logic,Kommode ,GFLOOKWb_ts,6
Nostalgia (RAC Mix),Doe Paoro ,k7jRbGUSjJs,1
Love Unlimited,Blackbird Blackbird ,GsYv-gcReCM,1
Last Years Troubles,Suzanne Vega ,7rj9WFmBJVo,1
Found My Friends,Hayley Kiyoko ,_NrYVcog5YQ,1
Confidence Man - Out the Window,ConfidenceManVEVO,XQGwjhDANVA,22
Wake Up,Macy Gray ,IOQYpLjL13w,1
Forever,Night Tapes ,t3T9kdNeUSE,3
Night Time (feat. Line Gøttsche) (NTEIBINT Remix),Borneland & Falcon Punch ,x7wyAQcMV6M,1
Next Year,Jaguar Sun ,OVUXpaEDTv8,3
Someday,Münechild ,paEL56RnMxc,4
No Giving Up,sir Was ,YqsbeMx_YKE,1
Blood Red,Low & Behold ,oi0UlkbS6GE,1
Landing,Zimmer ,mdoWKea1ctY,2
On Your Mind,Emi Choi ,X54J-L01VdA,1
A & E,Goldfrapp ,zqabmoUbbNA,1
Dreaming of You (Vibes4YourSoul Remix),L'Impératrice ,DHQ5KF8lfkI,1
The Barrel,Aldous Harding ,Ws3XVUlKXQ4,1
Sunday,Foals ,VpqMOO4RofY,1
Days,No Vacation ,edsPK5Ve9fc,2
Games,Tessa Violet ,oSSZA8Kje3s,1
O-Zone - Dragostea Din Tei [Official Video],Time Records,YnopHCL1Jk8,1
Roddy,Djo ,g4etzBUeUT8,1
Lightenup,Parcels ,e95AYrvZIno,10
Mild Orange - Foreplay [Full Album],Nice Guys,1hrUaOrIQR4,2
Honey,Johnny Balik ,zfTzIoAqjis,4
Forever Nobody,L'Impératrice ,mPP-dCzmBxk,4
What I Mean,TheSecondSex ,2XcNvm9siqo,3
Grimes - Oblivion,GrimesVEVO,JtH68PJIQLE,8
Want You Back,HAIM ,Vv8UGTRor7I,3
Mopedbart,Hubbabubbaklubb ,UHxsG5ijQrU,3
NDGO (SCHAARUP Remix),Nankoo ,gEuxQWqAlNs,1
Glory (Keith Sweaty Remix),Wye Oak ,gSQtPVqoclg,1
Telephone (Roosevelt Remix),Sinkane ,33YQKOOTZMQ,3
Dream,Husbands ,-8GGJc3Bee4,1
Charlotte Sometimes (Single 10/81),The Cure ,9DQD1ZNsMvI,1
Ghostride,Crumb ,62vYyjnY95k,2
Moon Undah Water,Puma Blue ,_Jh54sLPCmg,3
TENET Official Soundtrack | THE PROTAGONIST - Ludwig Göransson | WaterTower,WaterTower Music,-k1ZRVamoZI,6
The Weeknd - After Hours (Audio),The Weeknd,ygTZZpVkmKg,10
"Travis Scott - The Plan (From the Motion Picture ""TENET"" - Official Audio)",TravisScottVEVO,iYKXdt0LRs8,4
Someone Else,Carlo Whale ,Zb_rR7wj2AM,1
Sail Away,Surfaces ,rmEfDzI77lU,3
Find an Island,BENEE ,GEHFsLXS1a4,4
Evil Spider,BENEE ,yl1tAJqrZcU,10
Searching,Zola Courtney ,jmrytaLGw5w,3
Glitter,BENEE ,_28ih_kFJvs,20
Bane's World | Drowsy | Green Light Sessions,Green Light Music,gahMcYZqJXU,1
She,The Blaze ,DcSyjnLN7BM,6
My Obsession,Pale Waves ,_IECC_g1Vsc,2
Heavenly,Pale Waves ,Mpz8u8tgX_k,1
Gun,CHVRCHES ,opcBX0YcneY,1
Strangers,Sigrid ,lkOzHXGv6AE,1
The Wire,HAIM ,9Ebvvvpse3U,1
Lavender,Two Door Cinema Club ,NZ_ThvmdQ9s,1
What You Know,Two Door Cinema Club ,iGKJe7QGoXk,2
Leave A Trace,CHVRCHES ,9L_P3Pu3NAI,2
Something Has to Change,The Japanese House ,zIGcUGqNcp0,4
Graffiti,CHVRCHES ,3ej8d-AUAN4,4
Clearest Blue,CHVRCHES ,5XrfI4-yafI,3
Masques,L'Impératrice ,yrgWU6n5NPA,1
Le Baron Rouge,L'Impératrice ,X6OmszF7VXc,1
L'équilibriste,L'Impératrice ,8Pi0o-DBTXY,1
Off to the Side,L'Impératrice ,zPY_eiPMc20,1
Coldest Summer (Original Mix),Tahiti 80 ,9F6V9gYFBdA,2
She Wants,Metronomy ,js2_czSqVc4,3
Rather Be (feat. Jess Glynne),Clean Bandit ,dHdMAdh4Xgc,1
Hillside Avenue,Ladyhawke ,1V9q5UpcFsE,1
Caution,The Killers ,DOfiCemXPEs,1
Empty Threat,CHVRCHES ,nADKjpk8w9Y,1
Warzone (Scratch Massive Vocal Remix),Benedict ,IlXJTUSzk30,1
Science/Visions,CHVRCHES ,gAYo5QZw27k,1
Seasons in the Abyss,Hellsongs ,Uy1i3UoxeYg,2
Another One,Mac DeMarco ,UXvM7u5hIEw,1
Ship To Wreck,Florence + the Machine ,DJu-m6piK4s,1
Give A Little,Maggie Rogers ,MerfzFYkx2o,1
Stranger,Foley ,sRMxHMeU9Zk,1
Little Of Your Love,HAIM ,NESBAG9hcts,1
On + Off,Maggie Rogers ,piwK3yHjsxA,1
See Her Out (Thats Just Life),Francis and the Lights ,l0A4A17l5dQ,1
Paradise,Brahny ,krVgKAVtZ6Y,1
Swim,Fickle Friends ,hnu8ON1tYrQ,1
HAIM - Falling (Official Video),HaimVEVO,AIjVpRAXK18,1
HAIM - If I Could Change Your Mind (Official Video),HaimVEVO,Ljg6g7BAdQo,2
Keeping Your Head Up,Birdy ,AgJR5-_7_c8,1
Birdy - Keeping Your Head Up [Official],Birdy,m8AXUq5uA0Y,12
HAIM - Little of Your Love (Video),HaimVEVO,4NJYWgb6dQM,1
HAIM - Want You Back (Official Video),HaimVEVO,yPQfcG-eimk,1
Push and Pull,KTEE ,wAOrGjwgTIQ,1
Don't Leave Me Lonely,Mark Ronson ,w1vrrNUiN9c,1
If I Could Change Your Mind,HAIM ,N3xuGfceCS8,1
I'M STILL HERE,Hawai ,0ySSL-NnwzU,1
Miss Me Sometimes U Do,The Nice Nice ,SNVIYjKGhNE,2
Female (feat. Æther),Neanticønes ,G3b69BbmIY8,2
Rest My Chemistry,Interpol ,ykYMLQqD2kY,3
This Thing,King Gizzard & the Lizard Wizard ,oXZiq00i5vA,4
Little Talks,Of Monsters And Men ,gSdjztTxYgk,3
Gap,The Kooks ,06NqEQnbVi8,2
Cold Little Heart (Radio Edit),Michael Kiwanuka ,NuEghDO_j0o,2
dodie - 6/10,dodieVEVO,8rhb5wTCero,24
Papooz - Theatrical State of Mind (Official Music Video),PAPOOZ,R0q4U668L3E,2
Way to be Loved,TOPS ,dCZ42u4tAtk,2
Upstairs,Lovepoint ,Qnj4XXqLHL4,1
Sinful (Illangelo Remix),Rhye ,5Vsy2k8l0nk,1
I'm Aquarius,Metronomy ,3Y8qwBVzgmU,1
I'm That Guy,Agar Agar ,1Y4IOS9cFY8,4
Grimes - California,GrimesVEVO,OsCfufAp2tM,1
My Jinji,Various Artists ,X_k53NIp0QU,1
The Current,STVN ,_drQKCOErG8,1
Didn't Catch Your Name,Moon Monsoon ,h5lK1i5NNCY,1
Came My Way,Joshua Benjamin ,8ezRj4dvs2g,1
Trustful Hands,The Dø ,fXlcofc3ig0,1
girls that ain't u,The Millennial Club ,CvBJkTyVokw,1
Slipping Away,LEISURE ,plUXpMKDt5s,1
fiction,Meego ,X1bqvjlpSzo,1
Some Places (feat. Many Voices Speak),Grapell ,-MhoZeFwLCg,1
Birch Tree,Foals ,g6J-qUqRQeo,1
Colours,Roosevelt ,9lmNXLNzIbs,9
Friday Morning,Khruangbin ,ylF6EeMi0mc,6
Electric Eyes,Client Liaison ,3JhTDBwS0YA,1
Don't You Want My Love (The Twelves - J.Mig Remix),Pollyn ,Y2XaPyVNHJA,1
To Love You,Rotkraft ,WdekynqsdYo,1
Star Treatment,Arctic Monkeys ,5QqXXjDKNP4,2
Spark,Amber Run ,0bSaXVaPmds,1
Blue,SG Lewis ,ffTQv9PqYRg,2
L'Impératrice ♘ MATAHARI,L'Impératrice,6MhKKPPUd4E,4
Keep on Walking,LIZ B ,CO2U-r_4_6I,1
Baby Don'chu Worry,Yung Heazy ,BNBZErdpu1g,1
Sonate Pacifique,L'Impératrice ,3uPJ1Tl5U94,6
C'est toi qu'elle préfère,Alice et Moi ,T6Qg6NRDQcQ,1
How Does It Feel?,Samm Henshaw ,ygHAds8kN1s,1
Nothing To Lose,Zola Courtney ,oVEJgyXEVkY,2
Keep It Gold,Surfaces ,oSkVZTANTT0,6
Learn To Fly,Surfaces ,EXY9NzGOYIM,3
Legendary,POWERS ,Vl3sZ8amP-A,2
Oblivius,The Strokes ,0wtx3BU5l3Y,1
C'mere,Interpol ,5Kvyus4w_-c,1
Pretty Boy,The Neighbourhood ,gWuBfqQYOAE,1
Close To Me,Deep Sea Arcade ,QEeaRNI9Yxg,2
Are We Ready? (Wreck),Two Door Cinema Club ,NbUC6Iet-6o,2
Some Other Time,ViVii ,xvWR-u4ofUc,1
Heavy Wave,Motorama ,oSu2KckJXO4,1
Baby,Zimmer90 ,Nn6CqJu8dBM,1
Stand On the Horizon,Franz Ferdinand ,fJDJTERl6Ek,1
Downtown,MIKNNA ,VxUYdAIsp8s,1
