Artist,Link,Total
Yung Heazy ,BNBZErdpu1g,3
Alice et Moi ,T6Qg6NRDQcQ,2
Samm Henshaw ,ygHAds8kN1s,3
POWERS ,Vl3sZ8amP-A,2
Deep Sea Arcade ,QEeaRNI9Yxg,2
ViVii ,xvWR-u4ofUc,1
Motorama ,oSu2KckJXO4,1
Zimmer90 ,Nn6CqJu8dBM,1
Franz Ferdinand ,fJDJTERl6Ek,2
MIKNNA ,VxUYdAIsp8s,1
53 Thieves ,-A0NpnBLuJI,1
Pional ,2cdKnY36nXw,4
Lost Boy ,CzgmfxXl3UU,1
BLUEY GREEN ,fl-tvuc-NyI,1
Gorillaz ,OXA87sokMLs,2
"Albert Hammond, Jr. ",9pCrMCUN9l4,1
Coolhand Jax ,yqPLn6FUep0,1
Pilgrim ,qOZfBvDYL5E,1
Milmine ,pfIpLkrGyp4,1
Dreamin' Wild ,JVcZxV4-Fm8,1
Luna Lake ,6t1qsJycB3o,1
Bane's World ,N41-L2MGO-s,1
Winterbourne ,ueDCK_sQg58,1
The Vaccines ,Ma4ieJmiQ64,1
F-POS ,BZGmIzI0hrI,1
Real Estate ,nhXaR64kHmc,1
Ian Luxton ,pS94wn9qqqc,1
Kazy Lambist ,eo-OsYl0xwM,4
Modern Nomad ,-PrHTl0dBrg,14
Mel Blue ,G1BYfpElGSE,1
Gigamesh ,sg2EFuDvyqM,1
Veiila ,XpJCJk8lPFA,4
Karp ,bC8NYbf9PDw,1
Swardy ,Zd7DNYAmbns,4
Satin Jackets ,eHUN2QCqeEA,1
Shane Tyler ,YsTrJVOJ3Kg,1
Lisa Hannigan ,ldw0HuMDvoM,2
Benedikt ,njEGZ_Z07qE,1
Faux Real ,5goJOaj559g,2
Meg Hutchinson ,2aPnNuGlNn8,1
Gareth Fernandez ,apCKWJi6mvc,1
Teddy Hyde ,A91l-VmPHNM,1
36 Questions ,vRTT1ulHOB0,1
Anthony Amorim ,YV5H4CtJwnA,1
Panopticon ,bHFq8IZjac0,1
Holy Ghost! ,S2V8TQnkC50,3
Dave Depper ,t0qZWlU_fJM,1
Julian Casablancas ,JMZaVnM34pU,2
BAYNK ,Didz9JZ0NoI,1
Mazde ,_1GSBI_jx6U,1
The Avener ,AvolsjMop-E,1
Howling ,vyi06PrfPNk,1
Twenty One Pilots ,w1Smzzw_w7Q,1
Disclosure ,Q3_vX-I16I0,2
SAFIA ,jhmyj_P1jBU,2
Tanlines ,xG8Im9BPW7s,2
Robert Robert ,t5hLGL-dc30,4
Hypnolove ,7v6TGZjikys,2
The Last Shadow Puppets ,ryHSt7B5x5w,5
Tipling Rock ,7wOcT-4tfGQ,9
NO BUSES BAND,xtn_SmyT87s,2
Cyclist ,6yel2BYTVhY,3
Kim Taylor ,41JV34t8gOM,1
Addison Grace ,UUqCJV0CKkQ,1
Kate Oliver ,qdBYfNNW0TY,1
Claud,aOLEVib6rjw,1
Florist ,ODsVJaM5PSc,1
Pomplamoose ,7JYA9QrS5X4,2
Audrey Mika ,nYDL5opQJic,10
Matt Maltese ,u8zmds9aZiE,2
PREP ,xh84yHc_slI,4
La Femme ,VMPj3tMkE3s,2
Paul McCartney ,4HQEzS8_yvE,1
Dominic Fike ,Vsy-b_RzRqU,10
Dominic Fike,LFXPG2ICn5E,1
Jesper Ryom ,uevM5Z8Oiqg,3
Ana Zimmer ,lP42FWWWQBE,1
Otzeki ,ZiTJqKWMQL4,2
HVOB ,s3hUnCVKg-A,4
Weval ,r4tJdmves4Q,1
Anna Of The North ,jXqjge7gLaE,3
Ashes To Amber ,kbRJA5QXVsk,1
Maximo Park ,rqLCM0QX80Y,1
The Voidz ,H813k8IRzmI,2
Marlon Hoffstadt ,WOp73_ijids,2
Inüit ,XbE5Pmx4q78,1
Jozif ,gAUbssJ4pa8,1
Leo Islo ,-rXjERv276M,1
Matilda Mann ,_YEmIeAVwLU,1
Leanna Firestone ,sYfdpQW8sUw,1
Kate Miller-Heidke ,orTQE_Cugs8,1
J. Bernardt ,QnJMj_lovno,1
Electric Youth ,0BGZ-nLnP-0,3
Nouvelle Vague ,pRWXeW6o-E4,1
The Tiny Majority,RmDBSYR585g,2
doddleoddle,FfVIMfSGBhw,45
Dillon ,37sWt2PQ-aw,1
MGMT ,w1nGMgaukcE,2
Coastals ,laIDhngAs1U,1
The Drums ,w6EswJkZrvA,2
Surf Curse ,9u1MQIDBWIY,3
Generationals ,1lWvaL1s9r4,2
HÆLOS ,5ShwRqTY2OI,1
Oscar and the Wolf ,L1x_4_trNSI,1
Chi Runner ,GfSxwkBW6nk,1
Jaguar Jaguar ,02amPoOWkUE,1
SALES ,zP-l262lOVY,1
Jack Stauber ,e2qG5uwDCW4,3
Affer ,s6Yb899cpgI,5
The Raconteurs ,-UjyXlQ3Ezk,1
The Frights ,63G34-AWi0g,2
Lemon Sun ,kF-ip4Pc2ME,1
Children Collide ,_0yC7-8QfX8,1
the Criticals ,TIHl2GxGscI,1
The Stills ,BHdVtB0wf5E,1
Still Woozy ,UBf-r7PcEOY,8
Alex Turner ,TKvzHBdcAdM,1
Christian Löffler ,BkpxIUlqU_0,2
DJ Poolboi ,wBEkz9QKjLc,1
Ruel ,iKvMjR7BKX4,8
La Felix ,Q32-b3HKOj8,1
Madelyn Grant ,8IgRtNgqaUY,1
Kita Alexander ,-bme-buvh0s,1
Will Joseph Cook ,kqSndy1kdn8,1
DUCKWRTH ,WKx6WMf72j0,1
Gianni And Kyle ,KufGAbzsjdE,1
Majesty ,Qb9Ml3Nf61o,1
Elephanz ,_GdHiMi_Kis,1
Kleerup ,HKH6b0cKIY4,1
Dede ,5sP7NMXvcoQ,3
Porches. ,1OhLg_X8uxw,2
Skegss ,z0Q3bU81Z2w,1
Rubblebucket ,HSCPUDqrJZ4,2
Juno Francis ,7tZy6zrdNJA,3
The Growlers ,3-IbRWL6eJI,3
Babe Rainbow ,0Gaif9ztChs,5
Quinn XCII ,8neCjSjIzbs,6
Augustine ,5PkMrCYi_Fo,1
Jerry Spoon ,Sxx30XiJIgI,3
Overjoy ,3hfrdStjT5o,1
CAPYAC ,HlZadDlnflc,1
Rosa Ama ,58ABljKFbOE,1
Work Drugs ,8MJnqqTaW4E,1
Mac Miller ,G-CGQ-hdbLA,1
Laumė ,B5Ishdx-7Ss,2
Indiana ,JstbmFFV3yI,1
Cézaire ,b4E1Ew4DBcA,1
Myd ,Ly7tfX15k0A,1
Flight Facilities ,xjj_OVvVQFc,8
Gengahr ,Pi2_cu49aTg,2
Tone Ranger ,g3JyWpIeWnQ,1
Sweater Beats ,WXZ_-P9qJqI,1
Le SuperHomard ,bkezrhA2BcE,1
Glass Animals ,i-RQSnRrP9M,1
San Cisco ,t1O5-dxc3CI,2
Feiertag ,PbDnvhxk7iI,1
Ceno da don ,XvSGnmKs3JQ,1
Harris Jayaraj ,o7AH56aE-W8,1
Laila ,qkW7DRluUmY,1
Locussolus ,K4yUSI4gJ-Q,2
Alle Farben ,Yv6dI7cMIxc,2
Wyatt Roberts ,D7T2eLltRkg,1
Matt Hylom ,zpgo9vyrhE4,1
JXN ,LAC6HNSdwDs,1
ionnalee ,6rjLwrKX808,1
Becca ,jJ7mo1b2Uq0,3
FKL ,2H4p8DFtluE,2
Audiomachine,w5fSuEdhU-0,1
Timecop1983,_Ci0Kgdpgsw,20
Paperdeer ,CLS1ujrMVGc,2
Vimes ,sX3ArGBqzks,1
Homeless ,ee2ZXPPGEno,2
Mullally ,Ris6rVpjKhs,1
Emotional Oranges ,b3jInWRaEZE,4
Anabel Englund ,qLZ1SbZdm-U,2
Sophia Fitch ,idcK8JUKE5Y,1
Chromatics ,tFFEY06Sd5I,2
AISHA BADRU ,JdNovTxeu9E,1
Joy Crookes ,dGWm5pntNGc,1
Foals,h8xZje1jbI0,211
Simon Servida ,X_HMZt4T558,1
Healy ,8pXVzAUzblA,1
INNR CIRCLE ,-paxrXBi7jE,1
Rebeka ,RIoDMNdDE-Y,2
Hot Hot Heat ,IxGIZ2vcGdk,1
The Cribs ,PWDAovtQmfg,1
Cassia ,aUJmSWb4a8Q,1
The Fauves ,iOK_IgA2mDI,1
Baltic Fleet ,_L8ts7SmwHE,1
Sam Wills ,pcx3eRQeObY,2
Cody Lovaas ,VEjoRPrlveA,2
Emma Louise ,EA1-5AizBnE,1
Telepopmusik ,4iWLhOjrbnw,1
Wet Bandits ,affqrqanNmw,1
ISLAND ,dEfgGTar8SI,2
Lion Sphere ,p3BbmOpcQTc,1
DIIV ,HdemOVIXuAI,1
peach tinted ,aU6g9GFYdjg,5
Small Forward ,310NpUAMtEE,1
Morgsch ,fAik047UxgI,1
Color Computer ,PuCqOJi2wDk,3
Nocturnal Tapes ,_oCJ_aKhAHQ,2
Austra ,hrGBCFYVWGA,1
Nu ,kTiZJQwAxDQ,1
Lewis OfMan ,DLkC-Bs7Lqo,3
Elder Island ,gWT3CQ8Qaa0,1
Ofrin ,SFqCnHo8hJY,1
You Man ,DfblKsP65mY,3
Polo & Pan ,kgtioJuP9E0,8
Sam Dian ,Hf-b5CtiX5Q,1
Ryan Neal ,HeRZ_f2K4yY,1
Hannah Pangilinan ,P43W-vwdzc0,1
MAX ,ifLQnfpYEGw,1
Stef Aranas & Euge ,PdvMgRHZMjg,1
Lowly ,V5-AT8moQos,1
Sports Day ,gjQB0BITM8A,1
Vennart ,aYj_CCuFLng,1
Klangstof ,Q_un22RdxrU,3
Barbarossa ,ky6sWL48v3o,1
Be Svendsen ,xdszrWkfac4,1
Askjell ,TvHBbk0dZT8,1
Seafret ,oKYp4zor1zw,1
By Polar ,7QcqNtdXnms,1
Kalandra ,oqPdT-FQLNE,1
AMES ,fg1A39lS7PI,1
Claire Rosinkranz ,C3SWhM0Cnc4,1
NVTHVN & Ok2222 ,tWEwGS4KBy0,8
JAWNY ,LhrvlcjM_xA,1
spring gang ,uybXEeLzm-M,1
James Reid ,g_-vP0Qul8g,1
Clubhouse ,ucv5530F7fg,1
Blu DeTiger ,NF_fHst2hJc,1
Monica Riskey ,CxPIur4Qizw,1
Oceanvs Orientalis ,HbUEgINXNow,2
Sub Urban ,8_Cw99SiHvc,1
LSD ,bYh3g_fSbJc,1
The Walters ,8k2FThlauWY,1
Klyne ,-bZIxRCpzYI,1
Stonefox ,Mc6LtH8x104,2
Shura ,BYKb2Zz9l6I,1
Funky Panda™,f4Ik3z9YoRc,1
Future Classic,22xdL8ZCVWk,12
BENEE,ubE_ac2wYPQ,2
Joji,HLetFEpgPgY,1
Claire Cottrill,L9l8zCOwEII,149
Calvin Harris ,XWCPbRsMb0Q,4
MEERA ,_cq4gBbExsg,1
MAGIC! ,3WzamI8QD2s,1
WizTheMc ,02YQjw7edLo,1
Buvette ,_To0LU3Z2lk,1
Tash Sultana,F0ddL6VaAVs,4
Petit Biscuit,D-3x7N2sKDE,1
The Roosevelts ,n9epyv_Fe5U,3
Max Jury ,tle1j6uo8_w,3
Max Jury,Ufmb7AL5aNE,1
Brassica ,4ALmmHi3VZI,2
Verzache ,y2VdXkgvllk,1
khai dreams ,15PA1cUB6g8,1
Young Gun Silver Fox ,_dAMFjKmTWg,2
Sunset Rollercoaster ,kR2v-aY7B3M,1
Sure Sure ,S46VRthG3UM,2
Cavetown ,LFJrdFyk5gs,9
Ben Platt ,X1JpwegsMAM,3
The Oh Hellos ,BeGU_em4wgQ,10
Chelsea Cutler ,BpKvpZsDhWQ,1
Peach Tree Rascals ,NfDbXnXB8gI,2
Jeff Bernat ,a78mfFQKR_c,1
Ayokay ,JFvE28wRpls,1
Michael Shynes ,XMhdnFX7L7k,4
92914 ,uHUpuON1y08,2
RINI ,vraZrWRjmZQ,1
Maroon 5 ,42K4KhAwMq4,1
LANY ,Mk-XlXe40FM,2
M.M.M ,mkeFkyvwCq0,1
Hannah Georgas ,RxtzfB9pl50,1
Ant Saunders ,yz7yU3f8Qt8,1
BeneeMusicVEVO,tVUp_1RRHTY,2
Camel Power Club ,2INDAVRMo6k,1
Sophie Hunger ,N0Yg3cznSlA,1
Her ,dpeAtRM2eHc,2
Sans Soucis ,XtYDozMEQqw,1
Sailor & I ,qyZcd4iJBxU,1
Ānemi ,3KURKiN6xx8,1
Moss Kena ,o2o7sd-pr2A,1
Post Malone ,r7Rn4ryE_w8,1
Khalid ,rbhHxJw0xIQ,1
Molly Moore ,2uC48YLLp6o,1
Mahalia ,bF8gGBJ_cS4,1
Paraiso ,m12CVTQkEYs,1
Young Guv ,sPRNxk2db-w,2
Broken Bells ,RvcXCe2cml8,2
AgarAgarVEVO,1a53IkJv4Go,1
Pastel ,-2Tvz5A6kJ0,1
Artone & Mey ,OuKi7baYowI,1
Darkside ,7_NRr5UeFHI,1
Muddy Monk ,bhsu0MaNyLw,1
The Action Design ,v5V2WSU3TeU,1
Sam Wave ,k1JDljq6QQc,1
L.M. Styles ,1YzNotdztm8,2
Dappled Cities ,MsTSdmDcUb4,2
Vetiver ,cw8dmP53iBs,1
Jake Shears ,0v9-sAxhGVU,1
Big Love and Little Hollywood ,Dt-Q6imqyUc,1
Red Shahan ,iFOq5ghYDPE,1
The Garages ,YFDZVbmWbXM,1
Preston Lovinggood ,hqS77Yzc8kY,1
The Backseat Lovers ,oTwVce9eWb4,1
Reptaliens ,gQC72YbwehQ,2
The Zolas ,2R58Nwc0vyU,1
Jukebox The Ghost ,ct_8ozOsLcY,1
The Happy Fits ,2I4F89sCFtQ,1
Zuma Dionys ,znU0duDFZCw,1
Mura Masa ,OqnvKYVGrW0,3
shakiraVEVO,pRpeEdMmmQ0,1
Dotan ,S075OvjMMlA,1
Guillemots ,FLQJcYpZKEg,1
Donny Benet ,Bb_azfTjZnQ,2
Alex Lucas ,jAo79wPjzzM,1
WOWH ,dCvqENzaQIE,1
Garden City Movement ,nIp2aIUFsSA,2
Dazy Park ,_196pcw2dWc,1
the booyah! kids ,yDhwgW_L-7M,1
APRILE ,xa15OaOJm-I,6
Labyrinth Ear ,mtU3KFbmWic,1
Empire of The Sun ,r02mYOlfcCw,1
Deaton Chris Anthony ,xv6H27WsK1A,1
Kendrick Lamar ,JXznzqIFH5A,10
A$AP Ferg ,Ttuwei73b8s,2
Travis Scott ,MQCTWx9fSzc,11
Bear Hands ,o7Jp2EotvV4,6
Mk.Gee ,pqYALOJyXTs,1
City Park ,evY_FAMCuV4,1
Indigo Waves ,G3UYaPKc4GY,1
Death Cab for Cutie ,hMCtTyPANr4,11
Guster ,rLoRTD9LZ-E,3
Cones ,S9RHoXB5kiY,4
Phoenix ,fJALBK5YD3c,1
Ramin Djawadi ,sdWQrDfV18A,33
Silversun Pickups ,pVCOXuMS6uA,2
Josh Garrels ,_yP2Gqkw1rA,4
Klaus Johann Grobe ,c9m75Wn5Q7g,1
Glue Trip ,6nso3GSVGMA,2
Boy Azooga ,9yEqg0D7LpY,1
Shungudzo ,XYd4deL4j_Y,1
Ten Fé ,7kfljobVY0U,1
Dan Edmonds ,NPsOehrEvls,1
Baseball Game ,l_WctwpvfD8,1
Blue Canopy ,fqP0vyaUdU4,1
TOLEDO ,blLG8Mha9Xg,1
daste. ,QTxW2tR4Cuo,1
Metric ,HZTUXLvC_bU,3
Matt Mays ,BowrqOiPQIY,2
Stereophonics ,qxbvFILLlWo,5
Leagues ,hnUhD0oqS9U,5
Mumford & Sons ,4-P9OEAwm3M,2
Audiomachine ,29BtNd5ly48,2
Goldensuns ,pXH4_faaIvI,1
Flamingo Pier ,VlHHbuCLib8,1
Zero 7 ,_dchwz8WLH4,1
Coma ,LiGqXIqDfIo,1
Belle & Sebastian ,JldKOD9Sx4A,1
Loneborn ,nGDGNXS7A44,1
Josh Rouse ,yxN-u8bSQZ8,1
Destroyer ,gvp2djShtXI,1
The Orb ,71u6SeGu-Yo,1
Aine ,eq6IMUD4WXg,1
Deerhunter ,XB7-XVibmbM,9
Twin Sister ,svbrLicA_nY,1
Antenna ,vQXvxZaAbh8,1
Róisín Murphy ,_X6TQE2i6vY,1
Electric Guest,sFIfdoGmzvc,48
Joseph Trapanese ,ncZ6drJjdhQ,1
ToyTree ,winZkbCyqVg,1
Max Richter ,2ee9UjhBrqY,4
Geek Music ,1ki7oATXdXc,1
Steven Price ,BzPYvrGWJgA,5
Matt Morton ,gkRVatH5sDk,1
grentperez ,ooPb1Td_GV8,1
Defrank ,4Rn-3RJ9Nvk,1
"Astronauts, etc. ",uqwR8QKXch8,1
Henry Jamison ,yLvMlcijAsY,1
Switchfoot ,UpkdOK0ZyFU,1
The Postal Service ,G6WIQzFnV2k,1
Frank Carter & The Rattlesnakes ,KtM8AHMAdjE,2
Sam Fender ,NJL7VcnFZB0,4
Think Music India,pgfUzQ8nzBY,1
Vendredi sur Mer ,SH7NtTrVt9A,2
RIVAGE ,iVNKtFrTHsA,1
Oscar Anton ,ID1Q2Nc6OEQ,2
Requin Chagrin ,yvllKgQGtTc,1
Hoshi ,gB7rN0bbjhI,1
Doves ,QNO29nRjczE,1
Brijs ,nhxlaLS5qUo,1
Paolo Nutini ,BuF1u9MnkjM,1
Elbow ,90GyoZ9-p6w,1
Kero Kero Bonito,PEmqJBcQ2lg,6
Spoon ,w80sthOJXr4,1
George Taylor ,mT4zEzHgErc,1
Santigold ,i0DKIaUOPSc,1
CapturedTracks,vtSFq7I9aGA,2
Stray Fossa,urpZm6_zKZE,7
Polyvinyl Records,mA23dNtBQ8w,1
David Dean Burkhart,ueLjlkWkH88,94
Let's Eat Grandma ,UhPlaK5pQ_c,2
Will Connolly ,bAfnWMd3flE,6
Big Thief ,pZG6u4DDb-M,9
Phantogram ,-eZnr1s8NqM,2
Wild Sweet Orange ,MIRcUxMCuHM,1
Sammy Brue ,_E1c2iGBALI,1
FUTURE ,SlZMDmtRnS0,1
Don Toliver ,ZkJHEUKtvXI,1
Kero Kero Bonito ,A2K1kqd4-L8,5
Snail's House ,eqwFDSkR0yc,1
Moe Shop ,NnewjfISoXQ,1
Low Roar ,jQe36x3p6VU,1
Paul Banks ,4ttlOeeCEE8,1
Eskimo Joe ,nkJgS2JR2hA,1
The Shins ,sFskE9WEj0A,3
The Head and the Heart ,YCqGlVrW6Hg,1
Brick + Mortar ,YpxKUtk5_NI,1
We Are Scientists ,-yJjv0h1rP8,1
Our Lady Peace ,hHwgPbPQ98c,1
Cold War Kids ,B2OO8RSxymU,1
The Wombats ,I0BdC5444XQ,1
Electric Century ,MyPfn4hrGBU,1
LilNasXVEVO,bXcSLI58-h8,2
Colyer ,UNX2cZvq_ME,1
The Kiffness,CAyWN9ba9J8,1
Deep Sea Arcade,KTL-NtomW7M,1
Cuco,9wiEM0s4aCQ,1
Great Gable,DhCKLOhk4qU,1
Brahny,7lf7L-71c_4,1
Foxes In Fiction ,v2vOzRL35Gw,2
The Daily Dose,KsSDnNcrvrA,116
4AD,G5RzpPrOd-4,3
ella jane,L9c0_1lk7Eo,1
Clapham Junction,B6SlFaF7Bww,6
Sebastian Bohm ,8hmy4hXK0WM,3
Losers ,e0ioKGtEJu0,1
Chastity Belt ,d3fPtHZ-n7c,2
Chicha ,mSuwP7rFo00,1
Jay Som ,Qv8cIV2-H4E,2
Blouse ,t8qVdgwVhO8,1
Lucy Dacus ,kjJqyzGc8Iw,14
Hater ,jGuAPnTD_CI,2
The Aquadolls ,XiXj6IduJUw,2
Alex G ,ozGijXAbpHQ,2
The Velveteins ,q6i8N4Hv8Ks,1
Cende ,yYkWFTLnmuY,2
Japanese Breakfast ,pLBOnyrrHlY,1
Kevin Krauter ,bOqIT7w1Hlc,1
Widowspeak ,jhkMh1v8zfo,1
Luna Li ,1WWS3yh2Dm8,1
Grizzly Bear,tjecYugTbIQ,1
Bon Iver,t60roHM1t7o,1
TheShinsVEVO,RoLTPcD1S4Q,3
Arts & Crafts México,GuPGZZgNFsU,8
FantasytrashcanTV,IxuDoYhQI2o,1
Dead Oceans,jcq5NlYz1PU,2
Better Oblivion Community Center ,Gy67tOFN1zM,2
World Music Trailer,R0jSnVq1NqU,1
Lera Lynn ,s9KZkyn2PcI,3
Ulrika Spacek ,x4Dfa9Z06Dc,2
Waxahatchee ,DVVQzGZpOVw,1
Weyes Blood ,xniRJsus8pk,2
Mother Tongues ,0fG2rYRExAI,1
YeahYeahYeahsVEVO,oIIxlgcuQRU,1
Imogen Heap ,pDPxlUfFa14,1
Beach Bunny ,XdS4Ge0ojB0,4
Daisy the Great ,JFEeCB4_oAg,2
Lauren Aquilina ,cMZe4aDWhc8,2
Thomas Sanders ,2aMMkT_oyy4,6
Claud ,m0NUyhaULb4,2
Rapper Fix,h006-5wn_gI,1
Hidden Citizens ,IaGsdnKORcA,1
Vince Staples ,3KpZ9Wc7MvA,1
Migos ,3L0qY1JUeqY,1
Vitamin String Quartet ,x0Fd84ojtg8,1
Brian Tyler ,sgzxPqan3VA,13
Daniel Pemberton ,OLa-xBpvhcc,12
Délicieuse Musique,9a-cUQel5D8,37
Full Metal Jacket Soundtrack ,A_WM0pvksig,1
PaleWavesVEVO,-nQessUrdk0,63
Sébastien Tellier ,Z0bBOOgTebM,1
ANIME 'S LAIFU,E6T8SksLtXg,1
Future World Music - Official Channel,-APQ7MQp0Ws,1
Anime luna II,SZOr9K01Eno,1
Lynyrd Skynyrd ,CqnU_sJ8V-E,1
Pearl Jam ,IpwHB2U3J1s,1
Christophe Beck ,3WeAcobAFQQ,3
Blake Neely ,KI6y0-SwGQs,1
Jesper Kyd ,J_iJbqEP9hY,1
Junkie XL ,tikp3fzk7FU,3
Nils Frahm ,luXZuPTJ3f8,1
Nicholas Britell ,nVF-2HgLsYs,2
Bleu Toucan ,zu55DSwlZaU,1
Ola Strandh ,wDIV5DRoHsU,2
Michael Giacchino ,zfFXG9B9SLc,3
Thomas Newman ,IWxZeZW3bl0,2
Zack Hemsey,lWDYAJ2-Y1E,2
MrSuicideSheep,BVomQtrtMTM,2
Sebastian Böhm,9A2d2-V-4as,1
OST Station,AGsjA1pXajk,1
J.Sercan Yacan,pfOvj0581zY,1
Jóhann Jóhannsson ,k4zh8RwhjZ0,1
Secession Studios & Greg Dombrowski ,L1L7KQdtR8o,1
Woodkid ,UrdaRrArd_c,1
Kevin Rix ,7EQU3jLMBSE,2
Harry Gregson-Williams ,Xtu3YGVfOYM,2
James Newton Howard ,DzBEX8t5dRk,1
Jasha Klebe ,XcGeBotqHH0,1
NettwerkMusic,r5e4Nq8JVEE,11
John Ottman ,qX-kkOxuFSQ,1
Jenny Kern ,68rHHxxuwho,1
Alec Benjamin ,DCRIcvPYogg,1
paris jackson ,ba5NLeUmleo,1
Skaar ,gxahcZzjRoY,1
Susie Suh ,6z2ydU67gYo,1
Sofia Mills ,qeSKQoZofTc,1
Steven Universe ,GDTD24KsdGc,2
salvia palth ,acg9ukzBwqg,1
Lonely Meteor,WIEvT_3Hvc0,1
JacqFrost ,CEEPPY0ee-8,1
Skinshape,ulOgzjdBdzY,20
Majestic Casual,E-4Dtd6mC-c,4
Fkj,X4Q7d0CtYyk,38
Brad Stank ,rCCZwYlRdiI,4
Benjamin Wallfisch ,K2fCpgGZyAI,3
AquaVEVO,ZyhrYis509A,1
EA Games Soundtrack ,h2Lpp3bvZVs,2
Enis Rotthoff ,Se2ON6PsjN8,1
Stephen Barton ,Zb87Zpd2TEA,1
Marcin Przybyłowicz ,vsoI1ZdlTK8,1
Chris Tilton ,K_qyHBfNoGY,1
Gijensu ,TcOfXDFfEN0,1
Segun Akinola ,kLMu5BlMmtA,1
Jeremy Blake ,DTl0swTjnj8,1
Sushin Shyam ,4S5hwEhBeL4,1
Head Splitter ,Ih3w0ky7UCY,1
Twelve Titans Music ,VvMGaTxq0p0,1
Samuel Kim ,jVDcBbMpcM4,2
Briston Maroney ,Ke9AYeHZIY0,1
Triple Crown Records,XUoEGjyVz5s,1
GumboSky's,KP6TxlRieiM,20
hollowcoves,j6Keg3XKKjM,1
Channo ,QaNLmg5zXqw,1
Steady Holiday ,hB4TE-MuApk,1
Mark Whalen ,x7KaT6cmeKY,1
Reliks ,y83Czo-sZwA,1
SunflowerBeanVEVO,Rm6ZtALw5KM,3
Flying Nun Records,0cjpAz5iUnA,27
OSymmetry,bAY-ssNscXQ,1
Thoprath Music,bP2o1BaqjqM,1
Chan,ZETKxbxvM3k,1
LilysWorld,EsvHC9UMrGs,1
Loose Music,TesXLLT-KIA,1
Søren Juul,Kl3wbELi840,1
Coldplay,EH9meoWmAOM,1
The Smiths,5mF4pKSi2SU,3
Secret B ,_A33lWx8_C8,1
Seeing Hands ,dsBr3lgmlz4,1
Blam Blam Blam ,9e9WtEwLTbI,1
Interscope Records,zo0mm1XXz1E,1
Elton John ,OphqjeGqhbs,5
Trailer Vault,o7-LCC96pNg,1
TomGrennanVEVO,ZKBqJdjHEUs,74
Anas Khallouk,PubywPZUkPc,3
Dexy's Midnight Runners ,GbpnAGajyMc,3
Dermot Kennedy,W4khYR7RR6A,165
Lewis Capaldi ,cjKWi70WN9g,1
Walking on Cars ,EVXR7DQUCA0,12
Jess Glynne ,VO0a899sd1E,1
Tom Walker ,fQwrp_-xTGI,43
JP Cooper ,XxwhwIhQq2s,1
Gert Taberner ,zc_RsLOgF0g,1
Vashti Bunyan ,AgPQZldbkw4,1
Billie Marten ,K_68Av94lqc,2
Them There ,95gARpetzUA,1
Craft Spells ,LaVLwZvg7ac,1
The Vernes ,DkXmBGyi6Ic,2
The Outlaws ,xFIfV2_L7rE,2
Eric Prydz ,zVtEBow2E7g,1
Yeasayer ,uv2dQwm9F4U,9
Jonas Hibiki ,rV_Yq4uXSpA,1
The Clann ,KTroLJbP3u4,1
Jess Cornelius ,Ls0qQoPMxd4,1
Tropic Harbour ,rMAh5zdR6VA,1
Graveyard Club ,IA-v-zMxong,1
Micra ,SqiV-2TO-QQ,4
Swimming Tapes ,q82nUeyFBbw,3
Vancouver Sleep Clinic ,kwPZKKiNb30,1
Sun Rai ,VCuDGGy9iiY,1
jbrekkieVEVO,t3bjPGUDl1k,2
WeArePalaceVEVO,1cS_i-zDdxg,29
Alvvays A,ZAn3JdtSrnY,67
elenatonraVEVO,l_Pf7z9Zr70,19
manchesterorchVEVO,8ui9umU0C2g,6
half•alive,KOOhPfMbuIQ,32
Tim S. Lucas,WP4ZIZYCzwo,3
KontrolMusic,DBUJ7aIEbE8,1
Death Cab for Cutie,XTPZWG5eLf8,22
gotyemusic,8UVNT4wvIGY,5
Swimming Tapes,mZxv6Xhb6yk,17
BlackPumasVEVO,0G383538qzQ,12
LoMoonVEVO,bnXkMNyc794,8
SwimmingGirlsVEVO,7Xv8JFx2-sc,83
GusDappertonVEVO,QrVl7mgVSg0,7
Cherry Glazerr ,wiwsbg_tf4o,9
Stray Fossa ,ggks3Q6f3jg,1
Shuttle ,pfaGyApsFDg,1
Cathedral Bells ,VPIUds-LuMo,1
BW,UWG1anEqaOE,1
Dr BEN,DPA3CZpsPU0,1
Anamorphia,OU5EjrsASDg,1
OasisVEVO,Tiqxn3iOmxY,1
RhyeVEVO,JJS5ywEIsA4,26
fosterthepeopleVEVO,SDTZ7iX4vTQ,77
Vansire the Band,LkaLbZOYdow,1
JohnNewmanVEVO,CfihYWRWRTQ,11
Lorde,-oqYrDfJYN8,4
Warhaus,GSJdhd0stAg,1
wearetahiti80,wpKWAfoW9dY,1
Them There,ZKE1DVGAhKc,8
Fam Guy Ep,934qT53iK6U,1
Spirit Goth,QuqM1GyLWh8,2
The Blaze,54fea7wuV6s,15
mxmtoon,AeUeLzBO0go,17
CircaWaves,5_8MAhaoyVk,7
Secretly Canadian,LNTh8skeWDA,1
CherryGlazerrVEVO,GFgz9aiiZlQ,1
nettwerkbackstage,sOdJMGVFYAg,1
Dais Records,P_WBu0b2SNs,1
Stello,bW-fnl60L4I,1
LeonBridgesVEVO,0Hegd4xNfRo,1
