Artist,Link,Total
Desire ,SoH0BWBmVZY,4
Still Corners ,dChqaYS7NUg,46
College ,X2NmCohQcHw,1
KavinskyVEVO,N70DRo8_WwA,35
Bekulah ,h04LjPjIFes,1
HEALTH ,Ny_HsSmiL9A,13
The Hics ,c50Mxr-AL40,1
Blonde Tongues ,uLyYQFsiPa8,2
WILLIS ,HpYdA-06jTc,1
Slaptop ,s1la-DebsyQ,1
That's Nice ,v1SSA9Qmy0Q,1
The Tony Castles ,jNzZIlVuuxY,4
Cavid Askerov ,r013JnVtync,1
Cut Copy ,VxKC8zluLCY,7
MØ ,rDgmXTkNYjc,2
You Drive ,r_3MA3P6qOM,2
PeachPitVEVO,DCi9I7ylt14,10
PEACH PIT,wI8fL77-0e0,62
Tahiti 80 ,VDwVNE04hkM,7
Poolside ,wjZH_8EmFvQ,36
Zero Cult ,Fh--fcq69vU,1
Harry Nathan ,zyyzR3xh4dE,2
Ariel Pink ,N3LluT6gj5o,1
Brett ,_HTkkVGIRWA,1
YACHT ,VOnlvbBOJac,2
Washed Out ,uFwEamjTJa4,2
STRFKR ,fbjjKelavgo,4
Leon Bridges ,-KIHsqNNZhY,3
The War On Drugs ,NVKbnXRXQog,28
Khruangbin ,3HdTbT_2Mn8,28
MollyBurchVEVO,DMxWz6sMvWE,1
Young Hunting ,HNd5HHTqwbE,3
Roland Faunte ,Gm6hT2Bc-mk,2
CASTLEBEAT ,c6B0SHIt4Lw,26
TV Girl ,_9XO2v2Q96Y,1
Kerala Dust ,RPYyVc9a3UE,2
Monolink ,P1FhVYM7rGM,1
LordeVEVO,wvsP_lzh2-8,51
Lorde ,Cuni8n0bwx0,87
The FADER,BBBxzmyeNdw,2
Tennisinc,Z6kNQEzQJpA,1
Hazel English,XgN_OFosKzY,85
Matador Records,-d91Qn8QUks,30
Soccer Mommy,K8-J8V8cwTU,15
TheJapaneseHouseVEVO,dEzYD4ZielY,131
SoccerMommyVEVO,7Phsup-LrII,29
FKJ ,oRS2p1GKqyU,12
Omar Apollo ,GCeAbNdOQHE,3
Mild Minds ,v2EOFs7S4aM,2
No Buses ,zpIPek5fV6k,1
boy pablo ,CmbHrIEu2gM,3
Parcels,pU6pdNNJM5M,28
Roy Blair ,3u9DdQ1TVo0,1
Doja Cat ,ui7M7j7caHA,3
Alice Merton ,N1rXoRwh_ig,1
Ben Howard ,Coj1Nb2DY_w,2
The Teskey Brothers ,nPwUokblaRo,1
TheWeekndVEVO,O1OTWCd40bc,54
MAJID JORDAN,X-vCNmpyVdI,1
CalvinHarrisVEVO,EgqUJOudrcM,23
GesaffelsteinVEVO,ZGDGdRIxvd0,8
PhantogramVEVO,a0ul-BghOAs,1
Mykey ,0NMwculmIGA,23
Alfie Templeman ,KcKpoKid1Bg,2
Billie Eilish ,b88dtuQoXBE,8
EnhancedWTCVideos,R889eSvuS-w,1
EveryoneYouKnowVEVO,ITg14gb3ofo,5
johnlegendVEVO,450p7goxZqg,1
DukeDumontVEVO,KDxJlW6cxRk,3
The Chain Gang Of 1974,rprf7LEraU4,25
Flume,8x-M7AkTvrQ,1
RecordMakers,46qo_V1zcOM,35
dodie ,gt3Fwn2aM20,358
Mitski ,GVZqDCG2VrA,1
Ashe ,6o9gIA72C88,3
King Princess ,BBBN6yUcef0,2
MIAW ,TK7h5XXrpEc,2
Easy Life ,7uD_3S9JteM,4
Josh Fudge ,tNr1pYUHvtc,2
Pitbull ,vFX5SHo_6Rs,1
Coldplay ,Q0TEUMPIhk8,6
Hembree ,HRnm0iig4F0,1
Grouplove ,v4vkihCniBk,1
Public ,7e-jX-Tnmxo,1
Noah Kahan ,JVGVl1OUpeU,1
Harry Styles ,vum2bUJwfkI,2
Joji ,5xwmensMDn0,5
Palace ,j4Wq42Hyxxo,24
Electric Guest ,f_KhSJvPT-g,46
MorMor ,qZuqmNzCths,10
Men I Trust,iVg30U6O764,640
Tom Misch,M1N_wbhAfQ4,130
Cage The Elephant ,w41e0aBkoZs,12
Small Black ,2Ed_8OkdXo8,1
Rex Orange County ,iiynitQi5js,2
Birdy ,WhVfPHxXZzk,22
Flight Facilities,r0bS-YnLf4s,16
blackclothesblackcat,NL3IOJhRQe4,1
Sofar Sounds,OndyizSdCEE,8
UMI ,2kL0FrUXFOI,1
Girl Ultra ,w8NmliXwOes,1
Bon Iver ,95FyXUHv8hk,13
Duran Duran ,5X5KweDhsaI,4
The Blaze ,9-u7vada4HU,28
Claire Laffut ,AjeE10OtHUk,4
Agar Agar ,xvDe_EIcOd4,83
Cults ,TlMgAsAmQKE,2
Eerie Summer ,IXWUFxV1zSY,1
Rhye ,cT_Q-psbmtY,13
Kacey Musgraves ,faDY3eK7dLk,26
Yuna Zarai ,jpHVSGQ2qAk,1
mxmtoon ,Vd0_jUiAY6E,24
Kindness ,Xxbvso48uvg,1
Rose Gray ,C7zEgPctNrM,1
Lanks ,C4J8NLrdUec,1
Videoclub ,V6wUpmmOhyg,1
Clio ,d2O11c9nNq0,22
Paradis ,2Hg3rNTVTRc,13
Bon Jovi ,p__81XMLRvA,3
Guns N' Roses ,y6lfK3bH4z8,6
Bee Gees ,jwikdkqYw6o,1
Sting ,dOjFcx3GJHg,1
George Michael ,2WNVNAOQWCE,8
Fleetwood Mac ,swJOIjjW69U,2
WaterTower Music,rbnlp8q3Rsk,276
M83,UjpbQ1OWMPE,45
Mute,66VnOdk6oto,1
Toto ,ZP69PLBqFUo,5
Pink Floyd ,x-xTttimcNk,40
KISS ,12fJAnaif34,3
Led Zeppelin ,iXQUu5Dti4g,5
R.E.M. ,Efa6BAWPm9o,21
The Eagles ,BciS5krYL80,6
M83 ,K8v_DaCcORQ,36
Fazerdaze ,OW9gXQ7PZdE,12
Twin Caverns ,0N0vEgqTduU,1
Willow ,h4OAXvDRZTY,2
Paul Cherry ,0WSRhgPZU2U,1
Wham! ,vDYw__at664,2
Billy Idol ,G_GxaoOJFTY,4
Eli Way ,mOJo1wH2ubc,1
Anna Straker ,PtNlbhex4qI,1
Alvvays ,m7BZmDRfaMM,28
Forever ,z13lDCnZ-qs,1
Cuco ,chCH2VjoJzc,1
Kali Uchis ,vgOTxZtlXys,1
Fitz and The Tantrums ,4d2I6SIs_bk,1
The Cranberries ,IGtOWGYp-LI,14
Madonna ,ilottRbDnGY,2
Philip Bailey ,88QVKw7SFJA,2
Sinead O'Connor ,1a2f-MwwEKY,4
Beabadoobee ,17tOKiX4BcU,3
Sir Chloe ,tFibsJYZSDs,7
Sub Pop,2m2Lr_HqCfg,14
Crumb The Band,nD3iG6m44g8,55
MorMor Music,9PvIIn6cc1M,8
Far Caspian,KUeWu3mDY4Q,7
Fazerdaze,szvFmW_oxeY,80
YellowDaysVEVO,ChIVsNgzaAo,1
Soccer Mommy ,_JfkLuAlXzI,22
Conan Gray ,PH1l79V-Umw,5
Foals ,-6Y9LFBCi48,76
Lo Moon ,KlUPBSG4H48,10
Willow Stephens ,q30QGdMr8tM,1
Radiohead ,DExBeFCx3mQ,9
HONNE ,2fSAEDfAGMA,6
Manchester Orchestra ,8KfwXac4ftI,4
Agnes Obel ,ZKEK5mVTOEo,37
The National ,q9OyPNPw0qc,3
Heartless Bastards ,gpmm8qQab6w,12
Hans Zimmer ,lKljYB6b-eo,219
Steve Jablonsky ,QdtmP9VOPAc,16
Henry Jackman ,ZR1JUPkB-Ps,41
Rupert Gregson-Williams ,JFDY-RFV_OM,2
Ludwig Göransson ,Xdcpxs7wh90,152
Ellie Goulding ,J-vpD8ZAc-4,2
Tom Odell ,H4buRu9-Wb4,2
Hollow Coves ,qQ0egPxPKSI,3
Keane ,G-kmfMmM-y0,2
Goo Goo Dolls ,sQxszQ9BsxM,2
Oasis ,rj5wZqReXQE,5
Neil Young ,HDzHhqWZMD0,1
Iggy Pop ,1r08Ca8fk5Y,2
Counting Crows ,x_dtKRzbCTU,1
Violent Femmes ,ImIESKQKKJo,1
Pixies ,49FB9hhoO6c,1
Creedence Clearwater Revival ,Xwy-3aI435o,1
Grant Lee Buffalo ,ogzsCDGp5lg,1
Chocolate Mtn. ,5E87Q0Kg1wg,1
Natalie Imbruglia ,rIGAt5yvfmw,1
Crowded House ,H7UMRkp7m80,1
The Rolling Stones ,170sceOWWXc,3
America ,mSZXWdKSQNM,2
Crash Test Dummies ,x5WhYUAOMDs,1
The Bangles ,jnfS7qzd6l8,1
Phil Collins ,Y-vj8V522OQ,2
Journey ,PIFUWHvSixw,2
Red Hot Chili Peppers ,ZICUilv4KF0,4
Bruce Springsteen ,SZ32qT7e1_M,1
Midnight Oil ,9t5OWixuUI8,1
Weddings Parties Anything ,s60Is0r2Rjk,1
The Pretenders ,xjnduGbq6r0,1
The Verve ,1WTATreAg08,1
Cyndi Lauper ,7wBgcalM4c4,1
Simon & Garfunkel ,_C2vqI9FVwg,1
LanaDelReyVEVO,eP4eqhWc7sI,103
CigarettesAfterSex,sElE_BfQ67s,91
The Macrobats ,UqK9lzaJzUo,4
AdeleVEVO,DeumyOzKqgI,7
Lana Del Rey,nVjsGKrE6E8,7
Kansas ,9fNrJMkTWEE,1
The Police ,Cdu3a2arXdw,3
BobbyMcFerrinVEVO,d-diB65scQU,1
The Cure ,wsxQcXIThjg,2
Kevin Morby ,JjXEXox3668,9
seankingstonVEVO,MrTz5xjmso4,1
Imagine Dragons ,9ssQKlLxBdQ,1
The Chainsmokers ,ufOCTVZDr7Y,1
Lukas Graham ,vTMAa6zZ7jY,1
BØRNS ,1T6r0OttdN0,4
TheLazylazyme,K4L49XCIPVM,21
z e d n y t,SZxoZHL_ukQ,1
CONLIN,t6Sx1uaFT38,24
Saxophones ,p8DXpSsbydQ,1
Moon Monsoon ,9y6sQZZIQNg,19
Profil de Face,0M3qd1yOUdY,1
Kid Francescoli,smlBG3wTvb0,20
Metronomy,sFrNsSnk8GM,2
L'Impératrice,jda_k6r9R1A,33
Cracki Records,b4tPqLLexSs,11
Khea Beats ,gAF9gi6lw1A,1
Tyler Bates ,_HFQArQNhho,1
Lorne Balfe ,82xvDwEvOxA,5
Black Math ,MtvJoQ4RDvQ,1
Tom Day ,ABckPFmPZTk,3
Sarah Schachner ,1W4bv_Yv98w,1
Apparat ,_7ctaqEFJoA,1
Lorn ,jtnpAkuYO2A,1
Ólafur Arnalds ,-M9PnC6uJVs,3
Jo Blankenburg ,m42121sIAFk,2
Marvin Matyka,DQ4r7HegRQw,2
Calum Dunsford,m-seRFY7-cw,1
Dermot Kennedy ,Cabjk542trs,208
Aly & AJ ,sSZgksGl0CA,10
Griff ,LtUiLvskKD0,1
Bruno Mars ,wGUKBXpfU1o,2
Noah Cyrus ,Ts_yIBOk7gQ,1
fun. ,f_K_0SNaRk0,1
Gotye ,xOazTYPrt64,1
Miley Cyrus ,iqXxfOnk-Z4,1
Rauf & Faik ,pGShat2_Ebk,1
Zedline ,P3AesBnbteA,2
Uppermost ,pwIFzhED0Lk,1
Com Truise ,7j7IJICT3Z0,1
