Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hKBYfjfugH7d28cgG74AVgV,UCleFRYxd-2ZlsDrQpy-1jXw,2015-08-08 12:18:47 UTC,2021-05-07 05:00:56 UTC,Watch later,,Private

Video ID,Time Added
V50V-EWzHm8,2019-12-04 11:05:24 UTC
vMDWoqCzkCg,2020-01-05 01:29:38 UTC
K81-SLUFo9c,2020-01-06 14:15:33 UTC
GRQ0405MPlk,2020-01-15 05:02:24 UTC
KNC5lkoE2Fs,2020-01-15 12:06:39 UTC
f2aocKWrPG8,2020-01-25 16:02:15 UTC
GOutF3gCJJs,2020-02-15 07:12:44 UTC
AK6bgjqVMlw,2020-02-24 04:19:07 UTC
qtgmGkEPXs8,2020-02-25 00:54:52 UTC
Pvl0R-Xi26A,2020-03-18 04:04:29 UTC
Ub3sE1ww6ac,2020-03-22 04:47:18 UTC
ImEnWAVRLU0,2020-03-30 13:33:47 UTC
6oCGFuFBCxE,2020-04-02 16:42:32 UTC
b3KZ-dobTPQ,2020-04-23 03:20:06 UTC
OrnpSe4OChM,2020-05-08 15:59:39 UTC
1UxA6JzoT-4,2020-05-11 18:30:37 UTC
SV4VTYWxKV4,2020-05-15 02:48:19 UTC
snkr-1C2e7U,2020-05-15 07:01:10 UTC
f-Zs3lx5OQA,2020-05-23 14:06:22 UTC
x0NTMSFBmv0,2020-05-24 17:40:26 UTC
u_y1S8C0Hmc,2020-06-05 17:23:53 UTC
devo3kdSPQY,2020-06-07 03:23:37 UTC
GzaXTOq06jo,2020-06-22 16:46:27 UTC
SOX0xm0sgrM,2020-07-09 07:02:11 UTC
OkqMp3BUHzw,2020-07-18 17:43:55 UTC
6yXcx_eQ8Fo,2020-07-20 03:48:42 UTC
UK58b4rsqCU,2020-07-31 17:15:58 UTC
gkmjOR55DwU,2020-08-04 03:33:09 UTC
haVCTy8mfsQ,2020-08-08 15:43:13 UTC
hRwdzwYd5iU,2020-08-10 03:05:42 UTC
jqXUm2YS-mM,2020-10-07 14:07:29 UTC
xC6J4T_hUKg,2020-10-20 14:11:59 UTC
DkMGTV-749o,2020-10-29 05:36:58 UTC
6w-Qw4uBL1w,2020-11-12 13:01:02 UTC
TQUsnto_3pw,2020-11-17 16:06:43 UTC
iIP1wdCn0qA,2020-11-18 08:13:43 UTC
rkv1fpWLy0Q,2020-11-19 09:23:23 UTC
zGcKURD_osM,2020-11-21 17:02:13 UTC
VpLHS0MhiXM,2021-01-07 07:36:17 UTC
TLpbfOJ4bJU,2021-01-31 02:39:46 UTC
ZGan5NwJ-LM,2021-05-07 05:00:56 UTC

