Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hLuLUym9HLsgHct3fkT7_Zf,UCleFRYxd-2ZlsDrQpy-1jXw,2021-01-08 02:15:47 UTC,2021-05-16 14:32:16 UTC,My playlist,,Unlisted

Video ID,Time Added
f6q6ty7w5EI,2021-01-12 04:02:44 UTC
XU6wuDyTQ8k,2021-01-12 04:03:18 UTC
VuhgLQUE0aQ,2021-01-12 04:03:25 UTC
NWLHJzJITkM,2021-01-12 04:03:30 UTC
M-gKOqiSB2c,2021-01-12 04:03:59 UTC
gypxTpsjIwc,2021-01-12 04:04:02 UTC
54jgFbHt-4c,2021-01-12 04:04:13 UTC
6H9S5OSWHiw,2021-01-12 04:04:19 UTC
3GiLKNZOPWw,2021-01-12 04:04:22 UTC
fm5a-mDFiPk,2021-01-12 04:04:43 UTC
9dntjpFLD_o,2021-01-12 04:05:49 UTC
QCoIltu6j7I,2021-01-12 04:05:52 UTC
djpCUtNKAoI,2021-01-12 04:05:57 UTC
66bydhlcOZ8,2021-01-12 04:06:07 UTC
CmUFNV0s4uI,2021-01-12 04:06:22 UTC
yRB0yF3rzZQ,2021-01-12 04:06:26 UTC
8Xv_Hg8o1fw,2021-01-12 04:07:17 UTC
kr4DNZz_8zI,2021-01-12 04:07:24 UTC
pqrUQrAcfo4,2021-01-13 14:59:34 UTC
VsxlqmSDmBU,2021-01-13 14:59:41 UTC
Q0TEUMPIhk8,2021-01-12 04:06:58 UTC
9qnqYL0eNNI,2021-01-12 04:07:05 UTC
qU9mHegkTc4,2021-01-13 14:59:44 UTC
f9iJFdSEuUs,2021-01-12 04:07:10 UTC
3a-q7vPa-UU,2021-01-12 04:07:14 UTC
KWuyx6yZ21U,2021-01-12 04:07:07 UTC
rwdwb5Fkgso,2021-01-12 04:07:31 UTC
giLpYG11qxQ,2021-01-13 14:59:47 UTC
od2q-e5K-Zc,2021-01-13 14:59:51 UTC
sQtnhwU2R9Y,2021-01-13 15:10:34 UTC
6eW99oNNRvI,2021-01-13 15:11:10 UTC
FDyWuL6lq6w,2021-01-13 15:11:21 UTC
0iIk_N217q0,2021-01-13 15:11:47 UTC
ORrFJ63nlcA,2021-01-13 15:12:23 UTC
wTR_tymnbac,2021-01-13 15:13:13 UTC
8gdT5mWQOhs,2021-01-13 15:13:19 UTC
D2mlCmROm2M,2021-01-13 15:13:27 UTC
w_gK0chm8MA,2021-01-13 16:16:06 UTC
BZoKnZSXdM4,2021-01-25 09:52:24 UTC
MTXXdP9DH4Y,2021-01-25 09:52:27 UTC
z0duVpYIvnI,2021-01-25 09:52:31 UTC
EvLrAJNxqns,2021-01-25 09:52:35 UTC
k7NfhqqlA0c,2021-01-25 09:52:39 UTC
xaqF9mRLu38,2021-01-24 16:22:18 UTC
 -Q8SLnk3BRE,2021-01-24 16:21:06 UTC
nbqMIBYJlvk,2021-02-09 13:49:15 UTC
CczcMarUoVk,2021-02-13 04:25:50 UTC
bR-gZQLO26w,2021-02-13 04:26:04 UTC
KMViJKmAV4M,2021-02-13 04:26:24 UTC
YkLLcIKhJ64,2021-02-13 04:34:55 UTC
AxNCOajIvEM,2021-02-13 04:35:14 UTC
cu_cq9WatBY,2021-02-13 04:35:14 UTC
53GXfedpscs,2021-02-13 04:35:14 UTC
pmbJ4zI788c,2021-02-13 04:35:14 UTC
a8rQ6JFZ4hQ,2021-02-13 04:35:14 UTC
pQfVVWunLaE,2021-02-13 04:35:14 UTC
J5qQsXn6uQU,2021-02-13 04:35:14 UTC
5Yo5SoZcAUg,2021-02-13 04:35:14 UTC
vByIR-fPls0,2021-02-13 04:35:14 UTC
CZ91QMhS_6M,2021-02-13 04:35:14 UTC
twMgiAoh9_g,2021-02-13 04:35:14 UTC
m3oOmcy28Cw,2021-02-13 04:35:14 UTC
0JV6GyyW1KU,2021-02-13 04:35:14 UTC
znq4pmDnmRY,2021-02-13 04:35:14 UTC
5kQybVJa9AM,2021-02-13 04:35:14 UTC
rbb-_YU2S4c,2021-02-13 04:38:44 UTC
2ru92T7Y5z0,2021-02-13 04:38:44 UTC
yRVotpLaCD4,2021-02-13 04:38:44 UTC
WxYgXmZ9xh8,2021-02-13 04:38:44 UTC
OFlQvbKE49U,2021-02-15 09:23:58 UTC
4EQkYVtE-28,2021-02-16 03:15:38 UTC
r7Rn4ryE_w8,2021-02-16 03:15:41 UTC
oPJrq4Vxub4,2021-02-16 03:16:08 UTC
9kznlAwE-8o,2021-02-16 03:16:14 UTC
pB-B6DUY0OY,2021-02-16 03:16:18 UTC
MBJFPq2Llps,2021-02-16 03:17:16 UTC
jQh3YBAVWCE,2021-02-16 03:17:27 UTC
