Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLCDyPuwdOP7lWh8C-CJbYHyfKQcj3cI09,UCjCRzbcN-U7Hlou32jl2AKw,2017-02-26 07:43:27 UTC,2018-06-19 12:07:11 UTC,School life,My school life in videos,Public


Video Id,Time Added
EF837zAnLGI,2017-02-26 11:38:35 UTC
ga54Hl8AIMY,2017-03-05 10:57:08 UTC
FhKHn5r1mrA,2018-06-19 12:07:11 UTC
