Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
UUjCRzbcN-U7Hlou32jl2AKw,UCjCRzbcN-U7Hlou32jl2AKw,,2017-08-14 11:05:00 UTC,Uploads from The rogue rogi,,


Video Id,Time Added
fsOgY2i2HWU,2017-08-14 11:05:00 UTC
ga54Hl8AIMY,2017-03-05 10:57:07 UTC
EF837zAnLGI,2017-02-26 11:38:34 UTC
Z3CbI6vIvf8,2016-10-07 16:57:45 UTC
2sJfb-_HThA,2016-10-05 09:18:17 UTC
BmXIVEorLxo,2016-10-03 16:34:13 UTC
k9SPOwTLDj4,2016-10-03 14:18:04 UTC
ToAoAPs3XiA,2016-10-03 14:06:16 UTC
